epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,-2.0611133575439453,0.12247857451438904,0.12247857451438904,0.18830890953540802,0.18830890953540802,-2.2778568267822266,0.11174356192350388,0.11174356192350388,0.17183731496334076,0.17183731496334076
1,-2.3547630310058594,0.10734551399946213,0.10734551399946213,0.1676708310842514,0.1676708310842514,-2.4006826877593994,0.10240378230810165,0.10240378230810165,0.1630510687828064,0.1630510687828064
2,-2.467127561569214,0.10231805592775345,0.10231805592775345,0.15986649692058563,0.15986649692058563,-2.5110318660736084,0.09657928347587585,0.09657928347587585,0.15590235590934753,0.15590235590934753
3,-2.587172031402588,0.09708838909864426,0.09708838909864426,0.151817187666893,0.151817187666893,-2.6173501014709473,0.09464454650878906,0.09464454650878906,0.14926721155643463,0.14926721155643463
4,-2.654120922088623,0.0942157655954361,0.0942157655954361,0.14764803647994995,0.14764803647994995,-2.650686025619507,0.09265808761119843,0.09265808761119843,0.14705583453178406,0.14705583453178406
5,-2.6986751556396484,0.09233412146568298,0.09233412146568298,0.14494380354881287,0.14494380354881287,-2.663621187210083,0.09261516481637955,0.09261516481637955,0.14648588001728058,0.14648588001728058
6,-2.733456611633301,0.09086818993091583,0.09086818993091583,0.14302921295166016,0.14302921295166016,-2.671537160873413,0.09129254519939423,0.09129254519939423,0.14564819633960724,0.14564819633960724
7,-2.7624080181121826,0.08968416601419449,0.08968416601419449,0.14146502315998077,0.14146502315998077,-2.67710542678833,0.08950205892324448,0.08950205892324448,0.14515341818332672,0.14515341818332672
8,-2.789475917816162,0.08847532421350479,0.08847532421350479,0.140083909034729,0.140083909034729,-2.672105073928833,0.08926738053560257,0.08926738053560257,0.1450270265340805,0.1450270265340805
9,-2.81357741355896,0.08751529455184937,0.08751529455184937,0.1388365924358368,0.1388365924358368,-2.656505823135376,0.08879244327545166,0.08879244327545166,0.1446332186460495,0.1446332186460495
10,-2.840993881225586,0.08626548200845718,0.08626548200845718,0.1374288946390152,0.1374288946390152,-2.658374786376953,0.08845585584640503,0.08845585584640503,0.14444446563720703,0.14444446563720703
11,-2.8641536235809326,0.08522937446832657,0.08522937446832657,0.13630086183547974,0.13630086183547974,-2.6352481842041016,0.08897070586681366,0.08897070586681366,0.14554275572299957,0.14554275572299957
12,-2.8807811737060547,0.08462312817573547,0.08462312817573547,0.13534760475158691,0.13534760475158691,-2.626133918762207,0.08769524097442627,0.08769524097442627,0.1444268673658371,0.1444268673658371
13,-2.9121203422546387,0.08334270864725113,0.08334270864725113,0.13367445766925812,0.13367445766925812,-2.6189215183258057,0.08856000006198883,0.08856000006198883,0.14517667889595032,0.14517667889595032
14,-2.9338388442993164,0.08248180896043777,0.08248180896043777,0.13252198696136475,0.13252198696136475,-2.5671675205230713,0.08770044893026352,0.08770044893026352,0.145165354013443,0.145165354013443
15,-2.9503703117370605,0.08177446573972702,0.08177446573972702,0.13152220845222473,0.13152220845222473,-2.549067497253418,0.0877467691898346,0.0877467691898346,0.14525872468948364,0.14525872468948364
16,-2.9779982566833496,0.08068382740020752,0.08068382740020752,0.1300347000360489,0.1300347000360489,-2.49552845954895,0.08693666011095047,0.08693666011095047,0.14595381915569305,0.14595381915569305
17,-2.999643564224243,0.0798688754439354,0.0798688754439354,0.12881867587566376,0.12881867587566376,-2.509192705154419,0.08918292075395584,0.08918292075395584,0.14702466130256653,0.14702466130256653
18,-3.0208799839019775,0.07906194031238556,0.07906194031238556,0.12757641077041626,0.12757641077041626,-2.4641127586364746,0.08684096485376358,0.08684096485376358,0.14628595113754272,0.14628595113754272
19,-3.0429694652557373,0.07832204550504684,0.07832204550504684,0.12622639536857605,0.12622639536857605,-2.4030323028564453,0.08616938441991806,0.08616938441991806,0.14609622955322266,0.14609622955322266
20,-3.068655252456665,0.07739166915416718,0.07739166915416718,0.12476948648691177,0.12476948648691177,-2.423645496368408,0.08690574020147324,0.08690574020147324,0.14601485431194305,0.14601485431194305
21,-3.049865484237671,0.07808363437652588,0.07808363437652588,0.12543129920959473,0.12543129920959473,-2.4486255645751953,0.08730783313512802,0.08730783313512802,0.14589805901050568,0.14589805901050568
22,-3.1011500358581543,0.07622227817773819,0.07622227817773819,0.12263728678226471,0.12263728678226471,-2.396545886993408,0.08745481073856354,0.08745481073856354,0.1468515694141388,0.1468515694141388
23,-3.1245551109313965,0.0755026787519455,0.0755026787519455,0.12131799757480621,0.12131799757480621,-2.35430908203125,0.08754168450832367,0.08754168450832367,0.14803366363048553,0.14803366363048553
24,-3.148164987564087,0.07474348694086075,0.07474348694086075,0.11985759437084198,0.11985759437084198,-2.272047758102417,0.08779644221067429,0.08779644221067429,0.14839380979537964,0.14839380979537964
25,-3.17234468460083,0.07404771447181702,0.07404771447181702,0.11836522072553635,0.11836522072553635,-2.250098466873169,0.08849868178367615,0.08849868178367615,0.14944739639759064,0.14944739639759064
26,-3.1964235305786133,0.07325548678636551,0.07325548678636551,0.11695939302444458,0.11695939302444458,-2.1376302242279053,0.08848147094249725,0.08848147094249725,0.14972540736198425,0.14972540736198425
27,-3.216090440750122,0.07258617132902145,0.07258617132902145,0.1157989650964737,0.1157989650964737,-2.201869249343872,0.08825648576021194,0.08825648576021194,0.14956717193126678,0.14956717193126678
