epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,-1.7921764850616455,0.13710848987102509,0.13710848987102509,0.20947852730751038,0.20947852730751038,1724.793212890625,0.13910341262817383,0.13910341262817383,0.21279367804527283,0.21279367804527283
1,-2.0882668495178223,0.1216239258646965,0.1216239258646965,0.18550150096416473,0.18550150096416473,1081.78955078125,0.13267427682876587,0.13267427682876587,0.1998382955789566,0.1998382955789566
2,-2.221141815185547,0.11451701074838638,0.11451701074838638,0.17664086818695068,0.17664086818695068,680.5230712890625,0.12829606235027313,0.12829606235027313,0.18902823328971863,0.18902823328971863
3,-2.30041241645813,0.11053144931793213,0.11053144931793213,0.17118671536445618,0.17118671536445618,537.5156860351562,0.12667694687843323,0.12667694687843323,0.1836482137441635,0.1836482137441635
4,-2.3488352298736572,0.10809269547462463,0.10809269547462463,0.16794198751449585,0.16794198751449585,606.2276611328125,0.12536102533340454,0.12536102533340454,0.1816725879907608,0.1816725879907608
5,-2.3844892978668213,0.10634367913007736,0.10634367913007736,0.1656549721956253,0.1656549721956253,542.9989624023438,0.12513701617717743,0.12513701617717743,0.18115295469760895,0.18115295469760895
6,-2.413545608520508,0.10502610355615616,0.10502610355615616,0.16379022598266602,0.16379022598266602,701.9208984375,0.12381969392299652,0.12381969392299652,0.18069909512996674,0.18069909512996674
7,-2.437633752822876,0.10392044484615326,0.10392044484615326,0.16225075721740723,0.16225075721740723,625.9351196289062,0.12160739302635193,0.12160739302635193,0.18064090609550476,0.18064090609550476
8,-2.458807945251465,0.10294699668884277,0.10294699668884277,0.16094210743904114,0.16094210743904114,676.8826293945312,0.12090466171503067,0.12090466171503067,0.18135583400726318,0.18135583400726318
9,-2.477731943130493,0.10208290070295334,0.10208290070295334,0.15976421535015106,0.15976421535015106,574.684814453125,0.1209801509976387,0.1209801509976387,0.1807219237089157,0.1807219237089157
10,-2.4935688972473145,0.1013193354010582,0.1013193354010582,0.15878452360630035,0.15878452360630035,560.6547241210938,0.12047342956066132,0.12047342956066132,0.1807757318019867,0.1807757318019867
11,-2.508228063583374,0.10072508454322815,0.10072508454322815,0.1578468382358551,0.1578468382358551,800.3623657226562,0.11939241737127304,0.11939241737127304,0.18049845099449158,0.18049845099449158
12,-2.5217230319976807,0.10007497668266296,0.10007497668266296,0.15703433752059937,0.15703433752059937,543.59912109375,0.11949967592954636,0.11949967592954636,0.1802172213792801,0.1802172213792801
13,-2.533064603805542,0.09958397597074509,0.09958397597074509,0.1563098132610321,0.1563098132610321,486.9034118652344,0.11794950813055038,0.11794950813055038,0.1791633665561676,0.1791633665561676
14,-2.545201063156128,0.09901494532823563,0.09901494532823563,0.15555843710899353,0.15555843710899353,428.9451904296875,0.11781633645296097,0.11781633645296097,0.17893344163894653,0.17893344163894653
15,-2.5550954341888428,0.09854382276535034,0.09854382276535034,0.1549341380596161,0.1549341380596161,524.1207885742188,0.11737917363643646,0.11737917363643646,0.1783824861049652,0.1783824861049652
16,-2.5639169216156006,0.09816911071538925,0.09816911071538925,0.1544150561094284,0.1544150561094284,485.8575439453125,0.11705701798200607,0.11705701798200607,0.1777687519788742,0.1777687519788742
17,-2.5736446380615234,0.09775014966726303,0.09775014966726303,0.15380555391311646,0.15380555391311646,472.3701477050781,0.1159854307770729,0.1159854307770729,0.17635847628116608,0.17635847628116608
18,-2.582052707672119,0.09734988212585449,0.09734988212585449,0.1533023864030838,0.1533023864030838,444.0078430175781,0.11569226533174515,0.11569226533174515,0.17539115250110626,0.17539115250110626
19,-2.5902018547058105,0.09699764102697372,0.09699764102697372,0.15282821655273438,0.15282821655273438,515.696533203125,0.11493544280529022,0.11493544280529022,0.17454199492931366,0.17454199492931366
20,-2.5983734130859375,0.09664028137922287,0.09664028137922287,0.15231719613075256,0.15231719613075256,560.9664306640625,0.11515210568904877,0.11515210568904877,0.17412109673023224,0.17412109673023224
21,-2.604891300201416,0.09634076803922653,0.09634076803922653,0.1519199162721634,0.1519199162721634,510.1556091308594,0.11398769170045853,0.11398769170045853,0.17266321182250977,0.17266321182250977
22,-2.6118693351745605,0.09606891125440598,0.09606891125440598,0.15148866176605225,0.15148866176605225,512.8450927734375,0.11432050168514252,0.11432050168514252,0.17266076803207397,0.17266076803207397
23,-2.618727684020996,0.09578796476125717,0.09578796476125717,0.1510682851076126,0.1510682851076126,552.8756713867188,0.11217264086008072,0.11217264086008072,0.17052245140075684,0.17052245140075684
24,-2.6247479915618896,0.09554829448461533,0.09554829448461533,0.15068569779396057,0.15068569779396057,474.3719482421875,0.11264095455408096,0.11264095455408096,0.1703704595565796,0.1703704595565796
25,-2.6302802562713623,0.09528245031833649,0.09528245031833649,0.15037068724632263,0.15037068724632263,522.1776733398438,0.11150407046079636,0.11150407046079636,0.1689416617155075,0.1689416617155075
26,-2.636397123336792,0.09502843767404556,0.09502843767404556,0.15003132820129395,0.15003132820129395,519.43896484375,0.11241734772920609,0.11241734772920609,0.17032760381698608,0.17032760381698608
27,-2.6417009830474854,0.09481190145015717,0.09481190145015717,0.1497286707162857,0.1497286707162857,618.5797119140625,0.11205828934907913,0.11205828934907913,0.16928967833518982,0.16928967833518982
28,-2.6463615894317627,0.09458242356777191,0.09458242356777191,0.14948149025440216,0.14948149025440216,475.0516052246094,0.11115822196006775,0.11115822196006775,0.16782598197460175,0.16782598197460175
29,-2.651257038116455,0.09439019858837128,0.09439019858837128,0.149172842502594,0.149172842502594,440.0721130371094,0.11030631512403488,0.11030631512403488,0.16821546852588654,0.16821546852588654
30,-2.656266927719116,0.09416915476322174,0.09416915476322174,0.1489204466342926,0.1489204466342926,343.7577209472656,0.10972123593091965,0.10972123593091965,0.16645555198192596,0.16645555198192596
31,-2.661236524581909,0.09400089085102081,0.09400089085102081,0.14861558377742767,0.14861558377742767,385.2762451171875,0.10939911752939224,0.10939911752939224,0.1663655936717987,0.1663655936717987
32,-2.6647067070007324,0.0938236340880394,0.0938236340880394,0.1484224498271942,0.1484224498271942,332.0917053222656,0.10844574123620987,0.10844574123620987,0.16555966436862946,0.16555966436862946
33,-2.6699132919311523,0.09363687038421631,0.09363687038421631,0.14814001321792603,0.14814001321792603,329.2190856933594,0.1092686578631401,0.1092686578631401,0.1660107672214508,0.1660107672214508
34,-2.6735146045684814,0.09348507970571518,0.09348507970571518,0.14794494211673737,0.14794494211673737,442.1510314941406,0.10896739363670349,0.10896739363670349,0.16503219306468964,0.16503219306468964
