epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,-1.6909347772598267,0.15823498368263245,0.15823498368263245,0.2120637446641922,0.2120637446641922,-1.8740350008010864,0.11721953004598618,0.11721953004598618,0.1929074078798294,0.1929074078798294
1,-2.046943426132202,0.12315189838409424,0.12315189838409424,0.1843688189983368,0.1843688189983368,-2.094761371612549,0.10746317356824875,0.10746317356824875,0.17705316841602325,0.17705316841602325
2,-2.1665828227996826,0.11659929901361465,0.11659929901361465,0.17553818225860596,0.17553818225860596,-2.2109062671661377,0.10707662254571915,0.10707662254571915,0.17290820181369781,0.17290820181369781
3,-2.2318992614746094,0.11258430033922195,0.11258430033922195,0.17126372456550598,0.17126372456550598,-2.22564697265625,0.11249050498008728,0.11249050498008728,0.1741209775209427,0.1741209775209427
4,-2.2722268104553223,0.11024685949087143,0.11024685949087143,0.16845367848873138,0.16845367848873138,-2.2618772983551025,0.11038507521152496,0.11038507521152496,0.17054517567157745,0.17054517567157745
5,-2.303218364715576,0.1084558293223381,0.1084558293223381,0.1663013994693756,0.1663013994693756,-2.2999415397644043,0.10758031904697418,0.10758031904697418,0.16772910952568054,0.16772910952568054
6,-2.330922842025757,0.10688807815313339,0.10688807815313339,0.16446588933467865,0.16446588933467865,-2.333324670791626,0.10384014993906021,0.10384014993906021,0.16481326520442963,0.16481326520442963
7,-2.352865219116211,0.10561715811491013,0.10561715811491013,0.16304902732372284,0.16304902732372284,-2.337736129760742,0.10209105908870697,0.10209105908870697,0.16344648599624634,0.16344648599624634
8,-2.3747975826263428,0.10451127588748932,0.10451127588748932,0.16149625182151794,0.16149625182151794,-2.3612194061279297,0.10061580687761307,0.10061580687761307,0.16217780113220215,0.16217780113220215
9,-2.3940629959106445,0.10343609005212784,0.10343609005212784,0.16023583710193634,0.16023583710193634,-2.333678960800171,0.10036031156778336,0.10036031156778336,0.1634705662727356,0.1634705662727356
10,-2.410599708557129,0.10262775421142578,0.10262775421142578,0.15911568701267242,0.15911568701267242,-2.328451633453369,0.0997205302119255,0.0997205302119255,0.16311421990394592,0.16311421990394592
11,-2.42751407623291,0.10178767889738083,0.10178767889738083,0.15796738862991333,0.15796738862991333,-2.330853223800659,0.09919285774230957,0.09919285774230957,0.16252194344997406,0.16252194344997406
12,-2.442265272140503,0.10109051316976547,0.10109051316976547,0.15698331594467163,0.15698331594467163,-2.3408260345458984,0.09893330186605453,0.09893330186605453,0.16178888082504272,0.16178888082504272
13,-2.456447124481201,0.10036635398864746,0.10036635398864746,0.15607085824012756,0.15607085824012756,-2.3333168029785156,0.0979529321193695,0.0979529321193695,0.16131103038787842,0.16131103038787842
14,-2.4693186283111572,0.09971431642770767,0.09971431642770767,0.15524467825889587,0.15524467825889587,-2.342830181121826,0.09868593513965607,0.09868593513965607,0.160848930478096,0.160848930478096
15,-2.48130464553833,0.09906227886676788,0.09906227886676788,0.15449731051921844,0.15449731051921844,-2.3671154975891113,0.09771044552326202,0.09771044552326202,0.15903730690479279,0.15903730690479279
16,-2.492553949356079,0.09854311496019363,0.09854311496019363,0.15375205874443054,0.15375205874443054,-2.377568483352661,0.09719289094209671,0.09719289094209671,0.15815092623233795,0.15815092623233795
17,-2.503509759902954,0.09799512475728989,0.09799512475728989,0.15299944579601288,0.15299944579601288,-2.402675151824951,0.09644368290901184,0.09644368290901184,0.1565554141998291,0.1565554141998291
18,-2.5152294635772705,0.09736382216215134,0.09736382216215134,0.15228839218616486,0.15228839218616486,-2.407656669616699,0.0962335467338562,0.0962335467338562,0.1561211496591568,0.1561211496591568
19,-2.5256526470184326,0.09688179939985275,0.09688179939985275,0.15158002078533173,0.15158002078533173,-2.4418551921844482,0.09554363042116165,0.09554363042116165,0.15451501309871674,0.15451501309871674
20,-2.5361616611480713,0.09638661891222,0.09638661891222,0.15088602900505066,0.15088602900505066,-2.4371497631073,0.09512854367494583,0.09512854367494583,0.15402869880199432,0.15402869880199432
21,-2.546046495437622,0.09593211114406586,0.09593211114406586,0.15020577609539032,0.15020577609539032,-2.4411985874176025,0.09427262097597122,0.09427262097597122,0.15334086120128632,0.15334086120128632
22,-2.543262004852295,0.09605368226766586,0.09605368226766586,0.1503220945596695,0.1503220945596695,-2.446937322616577,0.09367255121469498,0.09367255121469498,0.15291371941566467,0.15291371941566467
