epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,-2.0614755153656006,0.12215209007263184,0.12215209007263184,0.1885834038257599,0.1885834038257599,-2.252711772918701,0.11091955006122589,0.11091955006122589,0.17481011152267456,0.17481011152267456
1,-2.304488182067871,0.10956336557865143,0.10956336557865143,0.1714010387659073,0.1714010387659073,-2.3436245918273926,0.10815732926130295,0.10815732926130295,0.16890162229537964,0.16890162229537964
2,-2.3750734329223633,0.10632297396659851,0.10632297396659851,0.16659948229789734,0.16659948229789734,-2.397315263748169,0.10614102333784103,0.10614102333784103,0.16471676528453827,0.16471676528453827
3,-2.2853260040283203,0.1104157492518425,0.1104157492518425,0.17052994668483734,0.17052994668483734,-2.1413490772247314,0.11478403210639954,0.11478403210639954,0.1788729578256607,0.1788729578256607
4,-2.275153636932373,0.11088745296001434,0.11088745296001434,0.17129409313201904,0.17129409313201904,-2.3709514141082764,0.10619278252124786,0.10619278252124786,0.16565656661987305,0.16565656661987305
5,-2.387139320373535,0.10609999299049377,0.10609999299049377,0.16497886180877686,0.16497886180877686,-2.4190475940704346,0.10228734463453293,0.10228734463453293,0.16327066719532013,0.16327066719532013
6,-2.4341135025024414,0.10378238558769226,0.10378238558769226,0.1622014194726944,0.1622014194726944,-2.4384467601776123,0.10187118500471115,0.10187118500471115,0.1611584722995758,0.1611584722995758
7,-2.4647786617279053,0.10244057327508926,0.10244057327508926,0.1603143960237503,0.1603143960237503,-2.4680259227752686,0.10156905651092529,0.10156905651092529,0.1595551073551178,0.1595551073551178
8,-2.492544174194336,0.10126253962516785,0.10126253962516785,0.15854841470718384,0.15854841470718384,-2.4826977252960205,0.10228483378887177,0.10228483378887177,0.15852151811122894,0.15852151811122894
9,-2.5181875228881836,0.10016820579767227,0.10016820579767227,0.15686465799808502,0.15686465799808502,-2.5013744831085205,0.10157433897256851,0.10157433897256851,0.15713953971862793,0.15713953971862793
10,-2.540815830230713,0.09918951988220215,0.09918951988220215,0.1554330289363861,0.1554330289363861,-2.512202501296997,0.10092334449291229,0.10092334449291229,0.15666373074054718,0.15666373074054718
11,-2.5625252723693848,0.09828277677297592,0.09828277677297592,0.15399771928787231,0.15399771928787231,-2.5272486209869385,0.10056862235069275,0.10056862235069275,0.1554253250360489,0.1554253250360489
12,-2.5848612785339355,0.09726818650960922,0.09726818650960922,0.15255777537822723,0.15255777537822723,-2.5504324436187744,0.09981086850166321,0.09981086850166321,0.1542811393737793,0.1542811393737793
13,-2.609180450439453,0.09620623290538788,0.09620623290538788,0.15104757249355316,0.15104757249355316,-2.570176362991333,0.0992581695318222,0.0992581695318222,0.1526687890291214,0.1526687890291214
14,-2.6316943168640137,0.0952381044626236,0.0952381044626236,0.14965543150901794,0.14965543150901794,-2.5937340259552,0.09729249775409698,0.09729249775409698,0.15122874081134796,0.15122874081134796
