epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,14.461530685424805,0.6587943434715271,0.6215406060218811,0.7219788432121277,0.9858723282814026,0.750788688659668,0.5287060141563416,0.44488054513931274,0.5731333494186401,0.7522821426391602
1,0.6647288203239441,0.5096781253814697,0.4510854184627533,0.5932409167289734,0.7081285715103149,0.616616427898407,0.47282981872558594,0.418601393699646,0.5737395882606506,0.6948026418685913
2,0.5897541642189026,0.4868967533111572,0.4388189911842346,0.5909223556518555,0.6829826831817627,0.6958050727844238,0.5277242064476013,0.49216222763061523,0.5647831559181213,0.6839984655380249
3,0.527921199798584,0.4711880385875702,0.4272194802761078,0.5840880870819092,0.665256917476654,0.5497771501541138,0.48985984921455383,0.44340458512306213,0.5603774785995483,0.6552261114120483
4,0.4746207892894745,0.4608345627784729,0.4179390072822571,0.575453519821167,0.6516879200935364,0.5035626292228699,0.4813980162143707,0.43617522716522217,0.5475489497184753,0.6417437791824341
5,0.4218597412109375,0.4530133008956909,0.41046836972236633,0.5641927123069763,0.638019323348999,0.43312904238700867,0.4666995108127594,0.4175971746444702,0.5400370359420776,0.6265979409217834
6,0.3750326335430145,0.44534391164779663,0.4035760462284088,0.5556886792182922,0.626308023929596,0.3838132619857788,0.44459062814712524,0.399374395608902,0.5299152135848999,0.6182087063789368
7,0.34409359097480774,0.44079381227493286,0.40007519721984863,0.5504578948020935,0.6179306507110596,0.3328562080860138,0.42590948939323425,0.3811088800430298,0.5249558687210083,0.6115137338638306
8,0.3173120319843292,0.43541571497917175,0.39571934938430786,0.5472390651702881,0.6117054224014282,0.3137493133544922,0.4205050766468048,0.3772774934768677,0.5213278532028198,0.6060104966163635
9,0.29120272397994995,0.43066537380218506,0.39149990677833557,0.5438739061355591,0.6055169105529785,0.2918919324874878,0.41606512665748596,0.37339019775390625,0.5174542665481567,0.6000304222106934
10,0.26967450976371765,0.4268397390842438,0.3880089223384857,0.5411570072174072,0.600284993648529,0.28313806653022766,0.41844770312309265,0.3748326301574707,0.5157111883163452,0.5949341654777527
11,0.25175192952156067,0.42407533526420593,0.3850293457508087,0.538951575756073,0.596447765827179,0.27245113253593445,0.4142715334892273,0.3711550831794739,0.5133029818534851,0.5919981598854065
12,0.23716142773628235,0.4212523102760315,0.38242095708847046,0.5370352268218994,0.5928624272346497,0.2711959481239319,0.40926626324653625,0.36936628818511963,0.5113415718078613,0.5911383032798767
13,0.2215103954076767,0.4184955954551697,0.37933364510536194,0.535517692565918,0.5897199511528015,0.25955456495285034,0.40765440464019775,0.36758536100387573,0.5096403956413269,0.5878759622573853
14,0.20777712762355804,0.4161217212677002,0.37669461965560913,0.5339950323104858,0.5870054960250854,0.2505649924278259,0.4068901240825653,0.36778539419174194,0.5092883706092834,0.5844355821609497
15,0.19498972594738007,0.41388317942619324,0.3740960359573364,0.5327115654945374,0.584401547908783,0.242177814245224,0.4022994041442871,0.3645094335079193,0.5101811289787292,0.5825555920600891
16,0.18457278609275818,0.41208571195602417,0.3720800280570984,0.5317615866661072,0.5822573900222778,0.24546578526496887,0.4180331528186798,0.3707216680049896,0.5085175633430481,0.5812163949012756
17,0.17720720171928406,0.4103977084159851,0.3701910078525543,0.5304691791534424,0.5805688500404358,0.23002353310585022,0.39950865507125854,0.362183153629303,0.5109227299690247,0.5782026052474976
18,0.16237294673919678,0.4078947603702545,0.3673222064971924,0.5296638011932373,0.5781458616256714,0.22558368742465973,0.4006950557231903,0.3624782860279083,0.5119199752807617,0.5766739845275879
19,0.36106765270233154,0.4450376033782959,0.408557653427124,0.5520644783973694,0.6184130907058716,0.2924697697162628,0.4189654588699341,0.37557098269462585,0.5188032388687134,0.5934296250343323
20,0.21859045326709747,0.4158638119697571,0.3778175115585327,0.5327427387237549,0.5842925310134888,0.2259867936372757,0.4087850749492645,0.3628099858760834,0.512932300567627,0.5805654525756836
21,0.1765521913766861,0.40928611159324646,0.36964181065559387,0.5291092395782471,0.577735424041748,0.21313460171222687,0.4096152186393738,0.3630644679069519,0.5108674764633179,0.5784037709236145
22,0.15812797844409943,0.4064415991306305,0.3665092885494232,0.5273733735084534,0.5744437575340271,0.20710879564285278,0.4071221351623535,0.3608262836933136,0.5104425549507141,0.5764145851135254
23,0.1456122249364853,0.404614120721817,0.364426851272583,0.5263636708259583,0.5723053216934204,0.20328262448310852,0.40386319160461426,0.3591482937335968,0.5118860006332397,0.5745450854301453
24,0.136650949716568,0.40332862734794617,0.36283737421035767,0.5257782340049744,0.5709885954856873,0.20384182035923004,0.4011760354042053,0.3584372401237488,0.512506902217865,0.5737318992614746
25,0.2012386918067932,0.42864733934402466,0.3912990987300873,0.5291382074356079,0.5762255191802979,0.5241392850875854,0.5270248055458069,0.4813578724861145,0.5432071089744568,0.6180283427238464
26,0.22513313591480255,0.42108073830604553,0.3858834207057953,0.5310222506523132,0.5832350850105286,0.20383882522583008,0.4063403904438019,0.3620551824569702,0.514621376991272,0.5750672221183777
27,0.14824290573596954,0.4038435220718384,0.3654906153678894,0.5261006951332092,0.5729913711547852,0.19973649084568024,0.4026358723640442,0.3604618012905121,0.5142024755477905,0.5749885439872742
28,0.1368332952260971,0.4024585783481598,0.3629167377948761,0.5253514051437378,0.5706310272216797,0.20054782927036285,0.3999849855899811,0.3584660291671753,0.5142428278923035,0.575397789478302
29,0.12732933461666107,0.40144702792167664,0.3610607981681824,0.5251621007919312,0.5694565773010254,0.20294764637947083,0.3996710479259491,0.3588622510433197,0.5145407915115356,0.575584352016449
30,0.27285224199295044,0.46358349919319153,0.4190484881401062,0.5345590114593506,0.5876350402832031,0.22585061192512512,0.39820870757102966,0.3568806052207947,0.5158020853996277,0.5739590525627136
31,0.14073410630226135,0.4054505228996277,0.36413732171058655,0.5248988270759583,0.5702740550041199,0.20092691481113434,0.3915403485298157,0.35114583373069763,0.5133801698684692,0.5722602605819702
32,0.12089887261390686,0.4014560580253601,0.35985061526298523,0.5238937139511108,0.5672450065612793,0.19814461469650269,0.3912307918071747,0.35188430547714233,0.5134010314941406,0.5722581744194031
33,0.11297651380300522,0.4002385437488556,0.35852161049842834,0.5237075686454773,0.5659658312797546,0.19862015545368195,0.39233991503715515,0.35342881083488464,0.5120761394500732,0.5732021927833557
34,0.1089298203587532,0.3996795415878296,0.35774487257003784,0.5236630439758301,0.5653244256973267,0.1967737376689911,0.3911372721195221,0.3522025942802429,0.5116758346557617,0.5723941326141357
