epoch,loss_E,loss_sigma,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_loss_sigma,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,0.5355801582336426,0.32091179490089417,0.32091179490089417,0.32091179490089417,0.5355801582336426,0.5355801582336426,0.4597146809101105,0.27696534991264343,0.27696534991264343,0.27696534991264343,0.4597146809101105,0.4597146809101105
1,0.4592773914337158,0.27278852462768555,0.27278852462768555,0.27278852462768555,0.4592773914337158,0.4592773914337158,0.44473809003829956,0.2662937641143799,0.2662937641143799,0.2662937641143799,0.44473809003829956,0.44473809003829956
2,0.44970062375068665,0.26695576310157776,0.26695576310157776,0.26695576310157776,0.44970062375068665,0.44970062375068665,0.44214650988578796,0.26153913140296936,0.26153913140296936,0.26153913140296936,0.44214650988578796,0.44214650988578796
3,0.43657350540161133,0.2596762776374817,0.2596762776374817,0.2596762776374817,0.43657350540161133,0.43657350540161133,0.43157973885536194,0.2573990821838379,0.2573990821838379,0.2573990821838379,0.43157973885536194,0.43157973885536194
4,0.4289713203907013,0.25504449009895325,0.25504449009895325,0.25504449009895325,0.4289713203907013,0.4289713203907013,0.4298122525215149,0.259445458650589,0.259445458650589,0.259445458650589,0.4298122525215149,0.4298122525215149
5,0.42319560050964355,0.2520125210285187,0.2520125210285187,0.2520125210285187,0.42319560050964355,0.42319560050964355,0.4309791922569275,0.26415902376174927,0.26415902376174927,0.26415902376174927,0.4309791922569275,0.4309791922569275
6,0.4188503921031952,0.24895334243774414,0.24895334243774414,0.24895334243774414,0.4188503921031952,0.4188503921031952,0.4150441288948059,0.2470124214887619,0.2470124214887619,0.2470124214887619,0.4150441288948059,0.4150441288948059
7,0.4160764515399933,0.24741144478321075,0.24741144478321075,0.24741144478321075,0.4160764515399933,0.4160764515399933,0.41520723700523376,0.24627618491649628,0.24627618491649628,0.24627618491649628,0.41520723700523376,0.41520723700523376
8,0.41148388385772705,0.24473276734352112,0.24473276734352112,0.24473276734352112,0.41148388385772705,0.41148388385772705,0.4110000729560852,0.2499469667673111,0.2499469667673111,0.2499469667673111,0.4110000729560852,0.4110000729560852
9,0.40713024139404297,0.24124066531658173,0.24124066531658173,0.24124066531658173,0.40713024139404297,0.40713024139404297,0.4075115919113159,0.24474841356277466,0.24474841356277466,0.24474841356277466,0.4075115919113159,0.4075115919113159
10,0.40699490904808044,0.24320435523986816,0.24320435523986816,0.24320435523986816,0.40699490904808044,0.40699490904808044,0.4064701497554779,0.24193806946277618,0.24193806946277618,0.24193806946277618,0.4064701497554779,0.4064701497554779
11,0.4006904065608978,0.23838229477405548,0.23838229477405548,0.23838229477405548,0.4006904065608978,0.4006904065608978,0.39957931637763977,0.24037393927574158,0.24037393927574158,0.24037393927574158,0.39957931637763977,0.39957931637763977
12,0.4000241756439209,0.23809513449668884,0.23809513449668884,0.23809513449668884,0.4000241756439209,0.4000241756439209,0.39779651165008545,0.2400379627943039,0.2400379627943039,0.2400379627943039,0.39779651165008545,0.39779651165008545
13,0.39650213718414307,0.2354092001914978,0.2354092001914978,0.2354092001914978,0.39650213718414307,0.39650213718414307,0.3991134762763977,0.24072161316871643,0.24072161316871643,0.24072161316871643,0.3991134762763977,0.3991134762763977
14,0.3943461775779724,0.23477667570114136,0.23477667570114136,0.23477667570114136,0.3943461775779724,0.3943461775779724,0.39346855878829956,0.23322135210037231,0.23322135210037231,0.23322135210037231,0.39346855878829956,0.39346855878829956
15,0.3929865062236786,0.2334471493959427,0.2334471493959427,0.2334471493959427,0.3929865062236786,0.3929865062236786,0.3967197835445404,0.2359694391489029,0.2359694391489029,0.2359694391489029,0.3967197835445404,0.3967197835445404
16,0.39154720306396484,0.23313717544078827,0.23313717544078827,0.23313717544078827,0.39154720306396484,0.39154720306396484,0.39223894476890564,0.2361201047897339,0.2361201047897339,0.2361201047897339,0.39223894476890564,0.39223894476890564
17,0.3893526792526245,0.23142153024673462,0.23142153024673462,0.23142153024673462,0.3893526792526245,0.3893526792526245,0.3932449221611023,0.2332739233970642,0.2332739233970642,0.2332739233970642,0.3932449221611023,0.3932449221611023
18,0.3887005150318146,0.23169375956058502,0.23169375956058502,0.23169375956058502,0.3887005150318146,0.3887005150318146,0.3915153443813324,0.23320086300373077,0.23320086300373077,0.23320086300373077,0.3915153443813324,0.3915153443813324
19,0.3873181939125061,0.23150791227817535,0.23150791227817535,0.23150791227817535,0.3873181939125061,0.3873181939125061,0.3910635709762573,0.24409589171409607,0.24409589171409607,0.24409589171409607,0.3910635709762573,0.3910635709762573
20,0.38574743270874023,0.22999870777130127,0.22999870777130127,0.22999870777130127,0.38574743270874023,0.38574743270874023,0.3915567398071289,0.2308986932039261,0.2308986932039261,0.2308986932039261,0.3915567398071289,0.3915567398071289
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
