epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,340.53424072265625,0.652764081954956,0.652764081954956,0.600999653339386,0.600999653339386,0.2311294823884964,0.37011033296585083,0.37011033296585083,0.5321770906448364,0.5321770906448364
1,0.08281273394823074,0.339052677154541,0.339052677154541,0.5219898819923401,0.5219898819923401,0.028307393193244934,0.3130539357662201,0.3130539357662201,0.5274208188056946,0.5274208188056946
2,-0.12323138862848282,0.30850979685783386,0.30850979685783386,0.4881570637226105,0.4881570637226105,-0.1352667659521103,0.2981792986392975,0.2981792986392975,0.48927071690559387,0.48927071690559387
3,-0.29829859733581543,0.28696855902671814,0.28696855902671814,0.4536929130554199,0.4536929130554199,-0.29992154240608215,0.28267702460289,0.28267702460289,0.4569312334060669,0.4569312334060669
4,-0.38935306668281555,0.27611079812049866,0.27611079812049866,0.43633219599723816,0.43633219599723816,-0.38272804021835327,0.273245245218277,0.273245245218277,0.4432539641857147,0.4432539641857147
5,-0.44131597876548767,0.2698618471622467,0.2698618471622467,0.4269809424877167,0.4269809424877167,-0.456468403339386,0.26647859811782837,0.26647859811782837,0.42965608835220337,0.42965608835220337
6,-0.4756632149219513,0.2657535970211029,0.2657535970211029,0.421188086271286,0.421188086271286,-0.49613210558891296,0.2625511884689331,0.2625511884689331,0.4222654700279236,0.4222654700279236
7,-0.5045945644378662,0.26221397519111633,0.26221397519111633,0.41656070947647095,0.41656070947647095,-0.5224253535270691,0.25782954692840576,0.25782954692840576,0.41556665301322937,0.41556665301322937
8,-0.5271714329719543,0.2597275674343109,0.2597275674343109,0.4128974378108978,0.4128974378108978,-0.5372587442398071,0.2557346820831299,0.2557346820831299,0.41173431277275085,0.41173431277275085
9,-0.5517058372497559,0.2567921280860901,0.2567921280860901,0.40900471806526184,0.40900471806526184,-0.5631511807441711,0.2532319724559784,0.2532319724559784,0.4073631763458252,0.4073631763458252
10,-0.5721227526664734,0.2544042766094208,0.2544042766094208,0.4057190716266632,0.4057190716266632,-0.5784079432487488,0.25043901801109314,0.25043901801109314,0.4048430323600769,0.4048430323600769
11,-0.5928196310997009,0.25206589698791504,0.25206589698791504,0.402310311794281,0.402310311794281,-0.5959323048591614,0.24955688416957855,0.24955688416957855,0.4022734463214874,0.4022734463214874
12,-0.6109164357185364,0.24998882412910461,0.24998882412910461,0.3994598090648651,0.3994598090648651,-0.6075455546379089,0.2457774579524994,0.2457774579524994,0.39943909645080566,0.39943909645080566
13,-0.6289815306663513,0.2479592114686966,0.2479592114686966,0.3966248631477356,0.3966248631477356,-0.60698401927948,0.2455431967973709,0.2455431967973709,0.3989095389842987,0.3989095389842987
14,-0.645145833492279,0.2462214082479477,0.2462214082479477,0.39413315057754517,0.39413315057754517,-0.6347883939743042,0.24638472497463226,0.24638472497463226,0.3939289450645447,0.3939289450645447
15,-0.6605454683303833,0.24457310140132904,0.24457310140132904,0.3917370140552521,0.3917370140552521,-0.6475374102592468,0.24174724519252777,0.24174724519252777,0.39205899834632874,0.39205899834632874
16,-0.6753439903259277,0.24301187694072723,0.24301187694072723,0.3895300626754761,0.3895300626754761,-0.6583304405212402,0.24136009812355042,0.24136009812355042,0.3898065686225891,0.3898065686225891
17,-0.6896178722381592,0.24152903258800507,0.24152903258800507,0.3873222768306732,0.3873222768306732,-0.6639249324798584,0.23928968608379364,0.23928968608379364,0.3883295953273773,0.3883295953273773
18,-0.70497727394104,0.23978741466999054,0.23978741466999054,0.38506391644477844,0.38506391644477844,-0.6756776571273804,0.23782269656658173,0.23782269656658173,0.38554108142852783,0.38554108142852783
19,-0.7205814123153687,0.23798346519470215,0.23798346519470215,0.3826342225074768,0.3826342225074768,-0.661772608757019,0.23556473851203918,0.23556473851203918,0.3834342658519745,0.3834342658519745
20,-0.7372153401374817,0.23634915053844452,0.23634915053844452,0.3801165819168091,0.3801165819168091,-0.6934670209884644,0.23495332896709442,0.23495332896709442,0.3825089633464813,0.3825089633464813
21,-0.7528761029243469,0.2346750944852829,0.2346750944852829,0.3778969645500183,0.3778969645500183,-0.6962380409240723,0.23268859088420868,0.23268859088420868,0.38153526186943054,0.38153526186943054
22,-0.7665221095085144,0.2331368327140808,0.2331368327140808,0.375980406999588,0.375980406999588,-0.7077198028564453,0.22924596071243286,0.22924596071243286,0.3790266811847687,0.3790266811847687
23,-0.7796081900596619,0.23178181052207947,0.23178181052207947,0.3743138909339905,0.3743138909339905,-0.7141131162643433,0.2291734516620636,0.2291734516620636,0.37803712487220764,0.37803712487220764
24,-0.7909224629402161,0.23060749471187592,0.23060749471187592,0.3728688359260559,0.3728688359260559,-0.715314507484436,0.22823859751224518,0.22823859751224518,0.37626099586486816,0.37626099586486816
25,3866927.5,0.4842584431171417,0.4842584431171417,0.7883908152580261,0.7883908152580261,79416.625,0.49822694063186646,0.49822694063186646,0.823621928691864,0.823621928691864
