epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,0.6392416954040527,0.3833058178424835,0.3833058178424835,0.5585381388664246,0.5585381388664246,-0.09853187948465347,0.32683902978897095,0.32683902978897095,0.48449593782424927,0.48449593782424927
1,-0.20682130753993988,0.299154132604599,0.299154132604599,0.4644821286201477,0.4644821286201477,-0.3460253179073334,0.2889690101146698,0.2889690101146698,0.44210249185562134,0.44210249185562134
2,-0.39947253465652466,0.2747274339199066,0.2747274339199066,0.432182639837265,0.432182639837265,-0.4565240442752838,0.2606527507305145,0.2606527507305145,0.4266149401664734,0.4266149401664734
3,-0.5056458115577698,0.26145699620246887,0.26145699620246887,0.4142705202102661,0.4142705202102661,-0.5459759831428528,0.2524532675743103,0.2524532675743103,0.4106889069080353,0.4106889069080353
4,-0.5563111901283264,0.2555793225765228,0.2555793225765228,0.4053560793399811,0.4053560793399811,-0.6020622253417969,0.24808147549629211,0.24808147549629211,0.4016571342945099,0.4016571342945099
5,-0.59684157371521,0.25064754486083984,0.25064754486083984,0.3989401161670685,0.3989401161670685,-0.6226370930671692,0.2465820163488388,0.2465820163488388,0.39832016825675964,0.39832016825675964
6,-0.6239537000656128,0.24745798110961914,0.24745798110961914,0.3943220376968384,0.3943220376968384,-0.6451037526130676,0.24504218995571136,0.24504218995571136,0.39257436990737915,0.39257436990737915
7,-0.6468912363052368,0.24496127665042877,0.24496127665042877,0.39079996943473816,0.39079996943473816,-0.661616325378418,0.2397247552871704,0.2397247552871704,0.3915935158729553,0.3915935158729553
8,-0.6627896428108215,0.2431437224149704,0.2431437224149704,0.3882342576980591,0.3882342576980591,-0.6751822233200073,0.23959483206272125,0.23959483206272125,0.38901227712631226,0.38901227712631226
9,-0.6736716628074646,0.24179266393184662,0.24179266393184662,0.38632020354270935,0.38632020354270935,-0.6890638470649719,0.23964199423789978,0.23964199423789978,0.3844195604324341,0.3844195604324341
