epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,13.957135200500488,22.676794052124023,22.676794052124023,68.42900848388672,68.42900848388672,1.6941468715667725,1.1857181787490845,1.1857181787490845,5.847640514373779,5.847640514373779
1,0.6262915134429932,0.5720372796058655,0.5720372796058655,0.687753438949585,0.687753438949585,0.5678917765617371,0.40670284628868103,0.40670284628868103,0.6650232672691345,0.6650232672691345
2,8.934441566467285,0.4158403277397156,0.4158403277397156,0.7152696847915649,0.7152696847915649,0.18602141737937927,0.34824082255363464,0.34824082255363464,0.5471130609512329,0.5471130609512329
3,0.2351190149784088,0.3722535967826843,0.3722535967826843,0.5508286952972412,0.5508286952972412,0.1574266105890274,0.3354669511318207,0.3354669511318207,0.532134473323822,0.532134473323822
4,0.08014816045761108,0.3333261013031006,0.3333261013031006,0.523553729057312,0.523553729057312,-0.012831387110054493,0.30102047324180603,0.30102047324180603,0.5085930228233337,0.5085930228233337
5,0.17369933426380157,0.35603827238082886,0.35603827238082886,0.5414688587188721,0.5414688587188721,-0.09583822637796402,0.2952764928340912,0.2952764928340912,0.49244755506515503,0.49244755506515503
6,77.83796691894531,0.3385925889015198,0.3385925889015198,0.5232194066047668,0.5232194066047668,0.26645568013191223,0.35823607444763184,0.35823607444763184,0.5758880972862244,0.5758880972862244
7,-0.04157467186450958,0.31854456663131714,0.31854456663131714,0.5052797198295593,0.5052797198295593,-0.12465494871139526,0.29108357429504395,0.29108357429504395,0.4853443205356598,0.4853443205356598
8,10.49140739440918,0.3208564221858978,0.3208564221858978,0.522898256778717,0.522898256778717,0.2457486391067505,0.3541938364505768,0.3541938364505768,0.5809482932090759,0.5809482932090759
9,-0.0045121475122869015,0.30797356367111206,0.30797356367111206,0.49590742588043213,0.49590742588043213,-0.17232365906238556,0.29059016704559326,0.29059016704559326,0.47541704773902893,0.47541704773902893
