epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.3752877414226532,0.221114844083786,0.5274979472160339,0.4905824363231659,-0.025444917380809784,0.36362236738204956,0.1954791098833084,0.4875570833683014,0.42245277762413025,-0.19651299715042114
1,0.32317864894866943,0.16851268708705902,0.46921831369400024,0.39694488048553467,-0.31553512811660767,0.3060051202774048,0.1517615169286728,0.4502750337123871,0.36614271998405457,-0.42579200863838196
2,0.3057037591934204,0.15281976759433746,0.44592371582984924,0.3615797758102417,-0.43154439330101013,0.29902029037475586,0.14586251974105835,0.43773379921913147,0.34786027669906616,-0.48823121190071106
3,0.2979432940483093,0.14598511159420013,0.43540260195732117,0.34605979919433594,-0.48623666167259216,0.28897449374198914,0.13860216736793518,0.43256115913391113,0.3402397930622101,-0.5165188908576965
4,0.29160356521606445,0.14035238325595856,0.4271426200866699,0.3339344561100006,-0.5324040055274963,0.28071853518486023,0.13241273164749146,0.430292010307312,0.33500370383262634,-0.5281946063041687
5,0.2866383492946625,0.1359536349773407,0.4210369884967804,0.3249110281467438,-0.568764328956604,0.27767473459243774,0.1306273639202118,0.4290602505207062,0.33383914828300476,-0.528438925743103
6,0.28205686807632446,0.13186196982860565,0.415924996137619,0.3172427713871002,-0.6019144654273987,0.2775079607963562,0.1311134248971939,0.42883801460266113,0.3348798155784607,-0.5238769054412842
7,0.2781625986099243,0.128427654504776,0.41169026494026184,0.3109452426433563,-0.6304904222488403,0.2779238224029541,0.13226433098316193,0.4280255436897278,0.33431529998779297,-0.5164989829063416
8,0.27443256974220276,0.1251533180475235,0.4078637659549713,0.30524662137031555,-0.6575035452842712,0.2798673212528229,0.134382963180542,0.42679664492607117,0.33426403999328613,-0.510153591632843
9,0.2711409628391266,0.12235558032989502,0.40427446365356445,0.3001706898212433,-0.6827390193939209,0.27794405817985535,0.13509339094161987,0.4266102910041809,0.33566775918006897,-0.4828389883041382
10,0.2683260142803192,0.12000933289527893,0.40131404995918274,0.2959333062171936,-0.7033433318138123,0.2809174358844757,0.13950644433498383,0.4278646409511566,0.34055495262145996,-0.45490071177482605
11,0.26531463861465454,0.11747404932975769,0.39810454845428467,0.2914309501647949,-0.7261164784431458,0.2812068462371826,0.13913679122924805,0.42760202288627625,0.33956846594810486,-0.45742443203926086
12,0.26270097494125366,0.11531782895326614,0.3951585590839386,0.28737765550613403,-0.7461665272712708,0.28111061453819275,0.1401263028383255,0.4272960126399994,0.34064507484436035,-0.44545990228652954
13,0.26132214069366455,0.1143985316157341,0.39366593956947327,0.285734087228775,-0.7587094902992249,0.28028127551078796,0.1406915932893753,0.428912490606308,0.3430618345737457,-0.4199044108390808
14,0.2571973204612732,0.11080186814069748,0.38897544145584106,0.2788269519805908,-0.7878199219703674,0.2792610228061676,0.14029793441295624,0.42964616417884827,0.3439217209815979,-0.4061347544193268
15,0.2543655335903168,0.10846753418445587,0.38564836978912354,0.27429747581481934,-0.8101317882537842,0.27922818064689636,0.14242024719715118,0.43137967586517334,0.3478972315788269,-0.3648112118244171
