epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.7536706328392029,0.7891130447387695,0.8537507057189941,1.1571637392044067,6.095156192779541,0.689760684967041,0.6494176387786865,0.7745345830917358,0.9228171706199646,1.071639060974121
1,0.6944766044616699,0.6761326789855957,0.824084997177124,1.0898762941360474,1.032892107963562,0.7143927216529846,0.6881473660469055,0.7282578349113464,0.8470318913459778,0.976402223110199
2,0.6710517406463623,0.6375086307525635,0.8008862733840942,1.037073016166687,0.9340851306915283,0.6143713593482971,0.5324145555496216,0.70900559425354,0.8015291094779968,0.7636905908584595
3,0.6135890483856201,0.5417107939720154,0.769790768623352,0.976536214351654,0.7861988544464111,0.5939655900001526,0.5132428407669067,0.773733913898468,0.9354704022407532,0.8224897980690002
4,0.5764177441596985,0.4902682602405548,0.7477803826332092,0.934287965297699,0.6782299876213074,0.5127379298210144,0.3956456780433655,0.6839022040367126,0.7709734439849854,0.625957190990448
5,0.5473307967185974,0.4522132873535156,0.7337334752082825,0.9117690920829773,0.5790375471115112,0.46309563517570496,0.3471180200576782,0.6864635944366455,0.7698937654495239,0.6103046536445618
6,0.5329138040542603,0.4343324303627014,0.725182056427002,0.8970240354537964,0.5279508829116821,0.5233707427978516,0.4035549461841583,0.6975712776184082,0.794410228729248,0.5918998122215271
7,0.5133669376373291,0.4119819104671478,0.7121742367744446,0.875629723072052,0.44464755058288574,0.48532554507255554,0.35382896661758423,0.642047107219696,0.6987127065658569,0.45033136010169983
8,0.5040514469146729,0.4010922610759735,0.7025630474090576,0.8584402799606323,0.39915111660957336,0.4592064321041107,0.33199822902679443,0.6338074207305908,0.6918932199478149,0.40499147772789
9,0.48587360978126526,0.3781537711620331,0.6927021741867065,0.8419100046157837,0.33709222078323364,0.4312018156051636,0.3055315613746643,0.6388143301010132,0.7066359519958496,0.363043874502182
10,0.47438696026802063,0.36365172266960144,0.6838449835777283,0.8264301419258118,0.28890228271484375,0.4415818154811859,0.3143850862979889,0.6206491589546204,0.6695238947868347,0.3103184401988983
11,0.4742162227630615,0.359255313873291,0.6782676577568054,0.8134936094284058,0.29532256722450256,0.47530320286750793,0.3617234528064728,0.6288509368896484,0.688630998134613,0.33500993251800537
12,0.4621853828430176,0.34695401787757874,0.6716337203979492,0.8036826252937317,0.23164179921150208,0.4331021308898926,0.3087196350097656,0.6254074573516846,0.6907080411911011,0.2859337329864502
13,0.4513550400733948,0.333574116230011,0.6650195121765137,0.7929262518882751,0.18985502421855927,0.43937310576438904,0.3181423842906952,0.6245991587638855,0.692688524723053,0.27052539587020874
14,0.4416602551937103,0.3209638297557831,0.6567826867103577,0.7790272235870361,0.1426279991865158,0.41757509112358093,0.2878214120864868,0.613654613494873,0.672153115272522,0.2401130199432373
15,0.4319780766963959,0.3090418577194214,0.6506162881851196,0.7686233520507812,0.10238850116729736,0.40669167041778564,0.2772495448589325,0.6055183410644531,0.6612294912338257,0.21918746829032898
16,0.4276205897331238,0.303566575050354,0.6462233662605286,0.7599262595176697,0.07579850405454636,0.40349817276000977,0.27190905809402466,0.6056728959083557,0.6653590202331543,0.21295811235904694
17,0.41875359416007996,0.29209083318710327,0.637585461139679,0.7449004054069519,0.03536619991064072,0.39059707522392273,0.2543976604938507,0.5893005132675171,0.6343162059783936,0.22181297838687897
18,0.4148589074611664,0.28712043166160583,0.633670449256897,0.738127589225769,0.010995332151651382,0.38357654213905334,0.24730557203292847,0.5947073698043823,0.6495153903961182,0.23879869282245636
19,0.4099968373775482,0.2813427150249481,0.627480149269104,0.7258760333061218,-0.01741710677742958,0.38266754150390625,0.2480013072490692,0.5877746343612671,0.6289923787117004,0.22757671773433685
20,0.4132075905799866,0.286104291677475,0.6288943290710449,0.7273052930831909,0.1144183799624443,0.3825143873691559,0.24549761414527893,0.5856884121894836,0.6270895600318909,0.24019281566143036
21,0.40441086888313293,0.2739852964878082,0.6188508868217468,0.7080606818199158,-0.048935454338788986,0.37726643681526184,0.2452172189950943,0.5951896905899048,0.6482149362564087,0.25932371616363525
22,0.401347815990448,0.2707717716693878,0.6134094595909119,0.6962791681289673,-0.08062870055437088,0.3831937909126282,0.24697498977184296,0.5757248401641846,0.6100941896438599,0.2513425052165985
23,0.39870116114616394,0.2674061357975006,0.6078250408172607,0.6833805441856384,-0.11271808296442032,0.37449273467063904,0.23909173905849457,0.5780022144317627,0.6122994422912598,0.26759210228919983
24,0.3979354202747345,0.2670679986476898,0.6060684323310852,0.6796084046363831,-0.12343079596757889,0.3865492045879364,0.2532905340194702,0.5869916677474976,0.6385138034820557,0.24931466579437256
25,0.3941349983215332,0.2620110809803009,0.5994552969932556,0.6646780371665955,-0.15936978161334991,0.3792610466480255,0.24146585166454315,0.5724302530288696,0.5988702178001404,0.25959599018096924
26,0.3930070400238037,0.25978079438209534,0.5969312191009521,0.6580591797828674,-0.17137907445430756,0.40000948309898376,0.2600821554660797,0.5714842081069946,0.5985533595085144,0.2400089055299759
