epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,1.4386563301086426,2.366612434387207,0.7474425435066223,0.905360996723175,1.0603526830673218,1.4566174745559692,2.4031310081481934,0.7404393553733826,0.8771274089813232,0.9719555974006653
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
