epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,-0.0989932268857956,0.3848938047885895,0.3739139139652252,0.4936523735523224,0.48074254393577576,-0.5290093421936035,0.28098174929618835,0.28922075033187866,0.3960401713848114,0.3763096332550049
1,-0.7579463720321655,0.2471240758895874,0.24687759578227997,0.36556941270828247,0.35300418734550476,-0.94423508644104,0.2277151644229889,0.2240264117717743,0.3430751860141754,0.33001044392585754
2,-0.9989441633224487,0.22435340285301208,0.21709372103214264,0.3363560438156128,0.3248341381549835,-1.0987871885299683,0.21422179043293,0.2078147977590561,0.32258662581443787,0.3115823566913605
3,-1.1315892934799194,0.21320301294326782,0.20348431169986725,0.3221069276332855,0.30949774384498596,-1.1978317499160767,0.20594653487205505,0.19930224120616913,0.3112415075302124,0.2989691197872162
4,-1.224911093711853,0.20596227049827576,0.1951880156993866,0.31247344613075256,0.2987503409385681,-1.2475636005401611,0.2027224898338318,0.19430403411388397,0.30608201026916504,0.29434695839881897
5,-1.2960423231124878,0.20056083798408508,0.18950432538986206,0.30494797229766846,0.2904009222984314,-1.2954671382904053,0.2000681757926941,0.19079092144966125,0.30091094970703125,0.2893456518650055
6,-1.3485335111618042,0.19660872220993042,0.18551380932331085,0.29924342036247253,0.2839988172054291,-1.3808844089508057,0.19512546062469482,0.18676838278770447,0.29302671551704407,0.2788304388523102
7,-1.399064302444458,0.19287294149398804,0.18173983693122864,0.29374438524246216,0.2782060503959656,-1.4336988925933838,0.19049833714962006,0.1827041506767273,0.2892417907714844,0.2728863060474396
8,-1.4401613473892212,0.18968772888183594,0.1786082535982132,0.2892109453678131,0.27350708842277527,-1.467441201210022,0.18737244606018066,0.17933110892772675,0.2858143150806427,0.26944491267204285
9,-1.4738081693649292,0.18712985515594482,0.17614497244358063,0.28556081652641296,0.26973962783813477,-1.50029718875885,0.18559154868125916,0.17757666110992432,0.28383421897888184,0.2660355269908905
10,-1.5023235082626343,0.1849205642938614,0.1740460842847824,0.28257396817207336,0.2666872441768646,-1.5204206705093384,0.183521568775177,0.17529462277889252,0.2830623686313629,0.2638911008834839
11,-1.526427149772644,0.18306221067905426,0.17232611775398254,0.28001850843429565,0.26410335302352905,-1.5380644798278809,0.18176031112670898,0.17348375916481018,0.2811019718647003,0.26191768050193787
12,-1.5472923517227173,0.18140055239200592,0.17079481482505798,0.2778015732765198,0.2618911564350128,-1.555350422859192,0.18021807074546814,0.1717444211244583,0.27902498841285706,0.2600446045398712
13,-1.5657018423080444,0.1800122857093811,0.1694810688495636,0.2758054733276367,0.2599199414253235,-1.5761889219284058,0.17847512662410736,0.1698877364397049,0.27656424045562744,0.2578136622905731
14,-1.5823079347610474,0.17870697379112244,0.16830265522003174,0.27398890256881714,0.25815150141716003,-1.5962761640548706,0.17676693201065063,0.16804467141628265,0.2740422189235687,0.2558361887931824
15,-1.597522497177124,0.17755863070487976,0.1672574281692505,0.2723146677017212,0.25654375553131104,-1.6155353784561157,0.17512011528015137,0.16637437045574188,0.2713645100593567,0.2541366517543793
16,-1.6115589141845703,0.17650386691093445,0.1662961095571518,0.2707624137401581,0.25507161021232605,-1.631929874420166,0.17384007573127747,0.16496595740318298,0.2696620523929596,0.2525850832462311
17,-1.624824047088623,0.17550796270370483,0.16539156436920166,0.2692887783050537,0.2536875605583191,-1.6462401151657104,0.17266303300857544,0.16384345293045044,0.267741322517395,0.2512117922306061
18,-1.6368998289108276,0.17458809912204742,0.1645626425743103,0.26795151829719543,0.2524372935295105,-1.6600042581558228,0.17169007658958435,0.16288188099861145,0.2664561867713928,0.24988237023353577
19,-1.6479767560958862,0.17375026643276215,0.16381043195724487,0.2667486071586609,0.25131094455718994,-1.6719145774841309,0.1709161102771759,0.16201676428318024,0.2655620574951172,0.24872709810733795
20,-1.6583505868911743,0.17295122146606445,0.16308997571468353,0.26561135053634644,0.25025495886802673,-1.6810848712921143,0.17038536071777344,0.16139207780361176,0.2650032937526703,0.24781641364097595
21,-1.6680546998977661,0.17225101590156555,0.16245999932289124,0.26453888416290283,0.24925364553928375,-1.6918010711669922,0.16974015533924103,0.16072304546833038,0.26413148641586304,0.24668920040130615
22,-1.677230715751648,0.17159222066402435,0.16186995804309845,0.263532429933548,0.248318612575531,-1.69806706905365,0.16930942237377167,0.16027213633060455,0.26366695761680603,0.24603122472763062
