epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.501674234867096,0.3715410828590393,0.6711629629135132,0.7464178204536438,0.9589863419532776,0.4597865641117096,0.3237648606300354,0.6419469714164734,0.68930584192276,0.7981775999069214
1,0.46819406747817993,0.33207669854164124,0.6272051334381104,0.6691259741783142,0.6438259482383728,0.46291184425354004,0.32439374923706055,0.6224350929260254,0.6494466662406921,0.6609625220298767
2,0.4590204954147339,0.3221072852611542,0.6155200600624084,0.6489236354827881,0.5504352450370789,0.457390159368515,0.3178415298461914,0.613875150680542,0.6340970396995544,0.5947573781013489
3,0.45403799414634705,0.3167935311794281,0.6094201803207397,0.6384522914886475,0.4953923523426056,0.4542044401168823,0.31566694378852844,0.6089642643928528,0.6258435249328613,0.5649389028549194
4,0.45060569047927856,0.31311339139938354,0.6055324673652649,0.6316666603088379,0.45628631114959717,0.4441196024417877,0.3039087951183319,0.6072431206703186,0.6210686564445496,0.5467748045921326
5,0.4477865993976593,0.310162752866745,0.6025493741035461,0.6264516711235046,0.42417046427726746,0.4444074332714081,0.30456382036209106,0.6008164286613464,0.6141304969787598,0.5131776928901672
6,0.44574785232543945,0.3080157935619354,0.6004409790039062,0.6227480173110962,0.4002147912979126,0.44336268305778503,0.30310526490211487,0.5967795252799988,0.6084181666374207,0.49766790866851807
7,0.44392743706703186,0.30610203742980957,0.5984999537467957,0.6192861199378967,0.37763848900794983,0.44434186816215515,0.3044578433036804,0.5953572392463684,0.6076685190200806,0.4725196361541748
8,0.4422908127307892,0.30436962842941284,0.5969229936599731,0.6164169907569885,0.35704758763313293,0.440748929977417,0.3007647395133972,0.5941899418830872,0.6063084602355957,0.4648415148258209
9,0.4411177635192871,0.3031069338321686,0.5956464409828186,0.6141354441642761,0.34227892756462097,0.43920350074768066,0.29972270131111145,0.5932781100273132,0.6059573888778687,0.45165228843688965
10,0.43975934386253357,0.3017716407775879,0.594535768032074,0.6121268272399902,0.3246517777442932,0.4376276731491089,0.2990303039550781,0.5950666666030884,0.609288215637207,0.44087982177734375
11,0.4388526976108551,0.30085811018943787,0.5937089920043945,0.6105759739875793,0.3127864599227905,0.4377695322036743,0.3003753125667572,0.5957289934158325,0.6131311655044556,0.4170413017272949
12,0.4379016160964966,0.29980701208114624,0.5928932428359985,0.6090742349624634,0.30095237493515015,0.43662723898887634,0.2991715371608734,0.5965275168418884,0.6130525469779968,0.42453479766845703
13,0.4371829330921173,0.29908543825149536,0.5922874212265015,0.6079069375991821,0.2920675277709961,0.43621131777763367,0.299312949180603,0.5971824526786804,0.6141611337661743,0.42650216817855835
14,0.43644142150878906,0.29833468794822693,0.5916324853897095,0.6065811514854431,0.2800385057926178,0.4384790062904358,0.3023761212825775,0.5993391871452332,0.6216279864311218,0.4278676509857178
15,0.43588536977767944,0.2977782189846039,0.5912235379219055,0.6058101654052734,0.2739725112915039,0.4368358254432678,0.2998855412006378,0.6010408401489258,0.6257416605949402,0.46717318892478943
16,0.43529433012008667,0.2970460057258606,0.5906317830085754,0.6045478582382202,0.2657625377178192,0.4367353618144989,0.3010079264640808,0.5984715819358826,0.6191151142120361,0.4289913475513458
