epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.5088306665420532,0.3807508945465088,0.6835567355155945,0.7684925198554993,1.037590742111206,0.47811633348464966,0.3441689908504486,0.650360643863678,0.7097887992858887,0.8846843242645264
1,0.47825002670288086,0.3443193733692169,0.6418901681900024,0.6957435011863708,0.7453765869140625,0.4673722982406616,0.3314644992351532,0.6417827606201172,0.6832681894302368,0.7586169838905334
2,0.46950170397758484,0.33435148000717163,0.6301886439323425,0.6751768589019775,0.6548846364021301,0.4592934548854828,0.32032909989356995,0.6327250599861145,0.6689795851707458,0.7117468118667603
3,0.464828222990036,0.32919999957084656,0.6244797706604004,0.6651325225830078,0.6053093075752258,0.4606115520000458,0.3226054608821869,0.623984694480896,0.6551975607872009,0.6516154408454895
4,0.46140292286872864,0.32555848360061646,0.6205131411552429,0.6582096219062805,0.5688071250915527,0.4587569236755371,0.3206208348274231,0.6188687682151794,0.6449300646781921,0.6517088413238525
5,0.4587472975254059,0.32265976071357727,0.6172806024551392,0.6525599956512451,0.5388670563697815,0.45190539956092834,0.3129855692386627,0.6187329292297363,0.6457149386405945,0.621049165725708
6,0.45643413066864014,0.3202337324619293,0.61469966173172,0.6481110453605652,0.5138071775436401,0.4486609101295471,0.3103572130203247,0.615966260433197,0.6401582956314087,0.6100542545318604
7,0.4545944631099701,0.3183397650718689,0.6126949191093445,0.64460289478302,0.4926920235157013,0.45050370693206787,0.3108488619327545,0.6137258410453796,0.6379271149635315,0.6045541167259216
8,0.4528907239437103,0.31660664081573486,0.610895037651062,0.6415324807167053,0.47379249334335327,0.44979581236839294,0.3109681308269501,0.6094136238098145,0.6314941644668579,0.584736704826355
9,0.4514782130718231,0.3151524066925049,0.6094184517860413,0.6389557123184204,0.45671677589416504,0.4444848597049713,0.3060529828071594,0.611268162727356,0.6344217658042908,0.572425365447998
