epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.5076448321342468,0.3789987564086914,0.6795809268951416,0.7617437243461609,1.016453504562378,0.4665772020816803,0.3334912061691284,0.650272011756897,0.7125127911567688,0.8213376998901367
1,0.47217679023742676,0.3365960121154785,0.6324625611305237,0.6782545447349548,0.6823310852050781,0.45856428146362305,0.3189297020435333,0.6268850564956665,0.6593443751335144,0.6776291131973267
2,0.46168720722198486,0.3250901699066162,0.6190083026885986,0.6548889875411987,0.574638843536377,0.4571523666381836,0.31663835048675537,0.617171585559845,0.6420974135398865,0.6015283465385437
3,0.45627152919769287,0.31908297538757324,0.6121355891227722,0.6429879665374756,0.516248345375061,0.4545409679412842,0.3152717649936676,0.6082836985588074,0.6274198293685913,0.5708115696907043
4,0.45242276787757874,0.3149630129337311,0.6077156662940979,0.6352766752243042,0.47382059693336487,0.45664092898368835,0.31635943055152893,0.6014300584793091,0.6148274540901184,0.5536694526672363
5,0.44948095083236694,0.311801552772522,0.6045342087745667,0.6296991109848022,0.4409703016281128,0.45122671127319336,0.31041935086250305,0.5976414680480957,0.6098343729972839,0.5257437825202942
6,0.44721290469169617,0.3094415068626404,0.6021780371665955,0.6255407929420471,0.41489240527153015,0.4498383402824402,0.3099895119667053,0.595160186290741,0.6090741753578186,0.49275556206703186
7,0.4454074800014496,0.3076026439666748,0.6003032326698303,0.6222402453422546,0.3927988111972809,0.4486166834831238,0.3098112940788269,0.5943675637245178,0.6093354821205139,0.47269368171691895
8,0.4439002275466919,0.3059748411178589,0.5988467335700989,0.619663655757904,0.3748348653316498,0.4435853362083435,0.30406585335731506,0.5939732193946838,0.6078000068664551,0.4596163034439087
9,0.4425705671310425,0.3046512007713318,0.5975176692008972,0.6171966195106506,0.3566538393497467,0.4463581442832947,0.3071189522743225,0.5950181484222412,0.610453724861145,0.4512493908405304
10,0.4413678050041199,0.3034359812736511,0.5964434742927551,0.615247905254364,0.34160637855529785,0.4468703866004944,0.30869215726852417,0.5943596363067627,0.6109371781349182,0.4444630444049835
11,0.44042032957077026,0.30250075459480286,0.5956574082374573,0.613787055015564,0.32903069257736206,0.4428633451461792,0.30516085028648376,0.5950135588645935,0.61078280210495,0.4460828900337219
12,0.43962132930755615,0.301666259765625,0.5947955250740051,0.6121758818626404,0.3192600607872009,0.443128377199173,0.3064537048339844,0.596035361289978,0.6150814294815063,0.43146035075187683
13,0.43877270817756653,0.30081304907798767,0.5941771864891052,0.6109115481376648,0.30661118030548096,0.44193077087402344,0.3053146004676819,0.5960205793380737,0.6154732704162598,0.48621100187301636
14,0.4381655156612396,0.30009278655052185,0.5935638546943665,0.6097294092178345,0.2982269823551178,0.44155630469322205,0.3057396113872528,0.5990715622901917,0.6221941113471985,0.4320891499519348
15,0.4376375675201416,0.2995871603488922,0.5931624174118042,0.6090333461761475,0.2916252017021179,0.4387604296207428,0.30042019486427307,0.5980561375617981,0.6187577843666077,0.4492330253124237
16,0.4371166229248047,0.29899948835372925,0.592772364616394,0.6082487106323242,0.28432008624076843,0.43949800729751587,0.30287379026412964,0.5985040068626404,0.6187725067138672,0.44135889410972595
17,0.43679261207580566,0.2986565828323364,0.5924586653709412,0.6077092885971069,0.2809222340583801,0.4375413656234741,0.3014892637729645,0.5982251763343811,0.6175609827041626,0.44581377506256104
