epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.5380740165710449,0.417501300573349,0.7157909870147705,0.8280620574951172,2.025879383087158,0.48144400119781494,0.3497055470943451,0.704036295413971,0.7832914590835571,1.1806999444961548
1,0.49256330728530884,0.3601576089859009,0.6524009108543396,0.7132267355918884,0.8288741111755371,0.4731222093105316,0.3340512812137604,0.6357759237289429,0.677216649055481,0.7420381307601929
2,0.4698072671890259,0.33347466588020325,0.6225471496582031,0.6609009504318237,0.6077561974525452,0.45977336168289185,0.3173719346523285,0.6197556257247925,0.6437774896621704,0.6419253945350647
3,0.46163448691368103,0.3244483768939972,0.6123473048210144,0.6433636546134949,0.5226585865020752,0.45069795846939087,0.3079666793346405,0.6100914478302002,0.626396894454956,0.5882464647293091
4,0.45689135789871216,0.31929880380630493,0.606844425201416,0.6339677572250366,0.47212356328964233,0.44934433698654175,0.3066119849681854,0.605228066444397,0.6183714866638184,0.5497891902923584
5,0.45361649990081787,0.3158065378665924,0.6031444668769836,0.6275771856307983,0.4350143373012543,0.45022109150886536,0.30814334750175476,0.6001547574996948,0.6123157143592834,0.5233491063117981
6,0.4510345757007599,0.31309929490089417,0.6004332304000854,0.6228732466697693,0.40521371364593506,0.4504547119140625,0.3090219497680664,0.5985949635505676,0.6116985082626343,0.5013917088508606
7,0.448962539434433,0.3109685778617859,0.5983600616455078,0.6192397475242615,0.3804817199707031,0.4464523494243622,0.3062521815299988,0.5975004434585571,0.6111449003219604,0.46857813000679016
8,0.4472464323043823,0.3092176020145416,0.5966900587081909,0.6162565350532532,0.35923418402671814,0.44707798957824707,0.30754023790359497,0.5967192649841309,0.6113186478614807,0.45387178659439087
9,0.4458295404911041,0.30777299404144287,0.5953599214553833,0.6138904094696045,0.34132465720176697,0.44635429978370667,0.30741986632347107,0.5975218415260315,0.6130289435386658,0.4378910958766937
10,0.444661945104599,0.3065296709537506,0.5943422913551331,0.6119799017906189,0.3263196051120758,0.4447113573551178,0.3068055808544159,0.5960165858268738,0.6125507354736328,0.42774295806884766
11,0.4439442455768585,0.30574047565460205,0.5934675931930542,0.6105120182037354,0.3165833353996277,0.44451606273651123,0.30633610486984253,0.598433256149292,0.6145526766777039,0.4286162853240967
12,0.44653838872909546,0.3094724416732788,0.5975757241249084,0.6186221837997437,14.154342651367188,0.4639866352081299,0.3288465440273285,0.6199387907981873,0.6550695300102234,0.6590222120285034
13,0.44896820187568665,0.3116357624530792,0.5975713133811951,0.6185225248336792,0.36168649792671204,0.4467001259326935,0.3094673752784729,0.5966963171958923,0.61602383852005,0.4087727963924408
14,0.44254007935523987,0.30429983139038086,0.592070996761322,0.6079947352409363,0.29522430896759033,0.4455920457839966,0.3092436194419861,0.5967629551887512,0.6159262657165527,0.40717166662216187
15,0.44116926193237305,0.3029841184616089,0.5909551978111267,0.6058226227760315,0.27813124656677246,0.44497838616371155,0.3088122010231018,0.5971893668174744,0.6167303323745728,0.4081241190433502
16,0.44493648409843445,0.30516907572746277,0.5865156650543213,0.5996260643005371,2.4111993312835693,0.44736775755882263,0.3097124397754669,0.5980616211891174,0.6183505058288574,0.5039399266242981
17,0.44072040915489197,0.3023807108402252,0.5913982391357422,0.6062700748443604,0.2823086380958557,0.44209277629852295,0.3056834936141968,0.5968546867370605,0.6158478856086731,0.4115656614303589
18,0.43858447670936584,0.2987801432609558,0.589241623878479,0.5961724519729614,63.98922348022461,0.437478244304657,0.29855966567993164,0.6003551483154297,0.6083750128746033,0.543085515499115
19,0.43871721625328064,0.299358993768692,0.5903456211090088,0.6013435125350952,0.30059194564819336,0.4438430666923523,0.3077619969844818,0.5979874730110168,0.6181292533874512,0.4227381944656372
