epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,loss_sigma,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E,val_loss_sigma
0,0.5523157119750977,0.4237283170223236,0.6067114472389221,0.6120666861534119,0.501934289932251,1.3169372081756592,0.4945647418498993,0.3452915847301483,0.6086306571960449,0.6130146384239197,0.5027162432670593,1.5136666297912598
1,0.5209956169128418,0.3782830536365509,0.5717735886573792,0.5568545460700989,0.4566603899002075,1.0558346509933472,0.4892607629299164,0.3388006091117859,0.5926952362060547,0.5876498222351074,0.48191508650779724,1.3896708488464355
2,0.5037906169891357,0.3566814363002777,0.5616966485977173,0.5415440797805786,0.44410619139671326,0.9507989287376404,0.4763920307159424,0.32714033126831055,0.5927303433418274,0.585693895816803,0.48031085729599,1.3511008024215698
3,0.49470654129981995,0.3460446894168854,0.5559881329536438,0.5329599380493164,0.437065064907074,0.894216775894165,0.47384971380233765,0.325090229511261,0.5873396396636963,0.5756890177726746,0.472106009721756,1.284670114517212
4,0.4911409020423889,0.34170618653297424,0.5519407987594604,0.5268218517303467,0.4320342242717743,0.8557632565498352,0.4697059988975525,0.3198705017566681,0.587139368057251,0.5753322839736938,0.4718132019042969,1.2954063415527344
5,0.48814669251441956,0.3383493423461914,0.5486657619476318,0.521838903427124,0.4279460310935974,0.8263664245605469,0.4684171676635742,0.3180622160434723,0.5814958214759827,0.5672910809516907,0.46521928906440735,1.247356653213501
6,0.48558393120765686,0.3356438875198364,0.5463689565658569,0.5183879733085632,0.425118088722229,0.8028994798660278,0.4668594002723694,0.3165317475795746,0.5793769955635071,0.5646855235099792,0.46308284997940063,1.2260268926620483
7,0.48360157012939453,0.33349958062171936,0.5445942282676697,0.5157073736190796,0.4229154884815216,0.7854682803153992,0.4642484784126282,0.3141759932041168,0.5781765580177307,0.5618782639503479,0.46077942848205566,1.2095247507095337
8,0.48231783509254456,0.33210015296936035,0.5431818962097168,0.5136196613311768,0.42120498418807983,0.7723321914672852,0.4622286856174469,0.3125942051410675,0.5755296945571899,0.5578392148017883,0.45746779441833496,1.1767884492874146
9,0.48111939430236816,0.33081552386283875,0.5420383810997009,0.5118784308433533,0.419778436422348,0.7610610723495483,0.4645024538040161,0.31484678387641907,0.5751654505729675,0.556519091129303,0.45638540387153625,1.1648792028427124
10,0.48029372096061707,0.3298676609992981,0.5410338640213013,0.5103828310966492,0.4185481667518616,0.752256453037262,0.464189738035202,0.3150913119316101,0.5735757350921631,0.5544155836105347,0.4546605050563812,1.1396706104278564
11,0.4795162081718445,0.3290626108646393,0.5402382612228394,0.5091774463653564,0.4175627827644348,0.7443515062332153,0.461832195520401,0.31308314204216003,0.5732811093330383,0.553063154220581,0.4535506069660187,1.1256251335144043
12,0.47885191440582275,0.32833752036094666,0.5394988656044006,0.5080860257148743,0.4166657030582428,0.7372251152992249,0.46405714750289917,0.3156540095806122,0.5713432431221008,0.5505154132843018,0.4514614939689636,1.1079926490783691
13,0.47824424505233765,0.32771798968315125,0.5388745665550232,0.5071383118629456,0.4158896207809448,0.7312904000282288,0.4628477990627289,0.31402450799942017,0.5704111456871033,0.5497374534606934,0.45082393288612366,1.0919634103775024
14,0.47771576046943665,0.32715603709220886,0.5383068323135376,0.50627201795578,0.4151783883571625,0.7254514098167419,0.4644257128238678,0.3161148428916931,0.5690924525260925,0.5480643510818481,0.44945207238197327,1.079024314880371
15,0.4772723913192749,0.32666996121406555,0.537812352180481,0.505544900894165,0.41458210349082947,0.7205672264099121,0.46405449509620667,0.3155139088630676,0.5681392550468445,0.5467003583908081,0.4483332633972168,1.0651419162750244
16,0.47690218687057495,0.3262244462966919,0.5374365448951721,0.504958987236023,0.4141019880771637,0.7170436978340149,0.46511462330818176,0.31693151593208313,0.5672846436500549,0.5461380481719971,0.44787198305130005,1.0651968717575073
17,0.47652125358581543,0.3258780837059021,0.5370540022850037,0.5043913722038269,0.41363412141799927,0.7128469944000244,0.46423521637916565,0.31552764773368835,0.5665016174316406,0.5450971722602844,0.44701841473579407,1.056762456893921
