epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss
0,0.5437332987785339,0.43740564584732056,0.7068485021591187,0.814072847366333,1.216365098953247,0.5433559417724609,0.44943034648895264,0.6882911324501038,0.7906119227409363,1.2805095911026
1,0.4995754659175873,0.366463840007782,0.6591700315475464,0.7241215705871582,0.9035714268684387,0.4164732098579407,0.2822928726673126,0.6414454579353333,0.689413845539093,1.0768100023269653
2,0.4870719611644745,0.35169240832328796,0.6423664689064026,0.6951971650123596,0.7859320044517517,0.45555323362350464,0.3151819109916687,0.6474404335021973,0.6961373090744019,0.8258240818977356
3,0.48234689235687256,0.3460868299007416,0.6358430981636047,0.6838404536247253,0.7383118867874146,0.49340006709098816,0.36412009596824646,0.6464491486549377,0.7043195366859436,0.7792083024978638
4,0.4784422516822815,0.3416767716407776,0.6313039064407349,0.676024317741394,0.7005143165588379,0.4257735311985016,0.2963860034942627,0.6447060704231262,0.6987005472183228,0.8205549716949463
5,0.4760763943195343,0.33934807777404785,0.6281909346580505,0.6705042719841003,0.6753057241439819,0.38445812463760376,0.26732322573661804,0.6327784657478333,0.6761746406555176,1.350809097290039
6,0.47379371523857117,0.33677205443382263,0.6265482306480408,0.6673800945281982,0.6595962047576904,0.4078868329524994,0.27538439631462097,0.6372998952865601,0.6815298795700073,0.7952131032943726
7,0.4715764820575714,0.334579199552536,0.6243016123771667,0.6637293100357056,0.637549102306366,0.4054453372955322,0.27451467514038086,0.6268913149833679,0.6659196615219116,0.7943004965782166
8,0.4691469073295593,0.33190736174583435,0.622040867805481,0.6597805619239807,0.6166840195655823,0.4425853192806244,0.3021082282066345,0.6242883205413818,0.6604233980178833,0.691807746887207
9,0.46858328580856323,0.3313097059726715,0.6219366192817688,0.6598026752471924,0.6184199452400208,0.4621638059616089,0.3213617205619812,0.6213139891624451,0.659599244594574,0.7968572974205017
10,0.4663827121257782,0.3290124237537384,0.6192664504051208,0.6551904678344727,0.5905545353889465,0.4510714113712311,0.3146643042564392,0.6211626529693604,0.6611818075180054,0.7657321691513062
11,0.46533700823783875,0.32793694734573364,0.61827552318573,0.6535770297050476,0.5803102254867554,0.4560340344905853,0.3167977035045624,0.6192793250083923,0.6565545797348022,0.8726191520690918
12,0.46447286009788513,0.32702451944351196,0.6174131035804749,0.6520848870277405,0.5725656747817993,0.44754302501678467,0.3099799156188965,0.6174554228782654,0.6546664237976074,0.9980616569519043
13,0.46347007155418396,0.32592302560806274,0.6163813471794128,0.6502241492271423,0.5621232390403748,0.4317936897277832,0.29880115389823914,0.616533637046814,0.6554291248321533,0.9720889329910278
