epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,39.66789627075195,0.3661128878593445,0.36648011207580566,0.5268408060073853,0.5272725820541382,4.649968147277832,0.31528982520103455,0.32128602266311646,0.5010976195335388,0.527461588382721
1,-6.265748977661133,0.3204174041748047,0.3204239010810852,0.4879342019557953,0.4881381094455719,-15.436936378479004,0.3085311949253082,0.3119652271270752,0.4839918613433838,0.5085365772247314
2,-20.16266632080078,0.312954843044281,0.31294727325439453,0.47681331634521484,0.47699180245399475,-24.581981658935547,0.30516502261161804,0.3078821301460266,0.47667649388313293,0.4987266957759857
3,-26.49532127380371,0.3096158504486084,0.30960318446159363,0.4718734920024872,0.47203928232192993,-29.5098876953125,0.30411726236343384,0.3066122531890869,0.4731471836566925,0.4940129518508911
4,-30.316017150878906,0.30766546726226807,0.3076477646827698,0.46885669231414795,0.4690139889717102,-33.42787551879883,0.30312758684158325,0.30528154969215393,0.47023963928222656,0.4890795946121216
5,-33.153656005859375,0.3061278462409973,0.3061070740222931,0.4666840732097626,0.46683385968208313,-36.16605758666992,0.30151480436325073,0.3033408522605896,0.4682266414165497,0.4854092299938202
6,-35.32997512817383,0.30495554208755493,0.304932564496994,0.4649921953678131,0.46513599157333374,-38.58462905883789,0.3010850250720978,0.3027408719062805,0.46632105112075806,0.4819132089614868
7,-37.30986404418945,0.3038480579853058,0.3038250803947449,0.46351268887519836,0.46365082263946533,-40.56641387939453,0.3007257580757141,0.3022755980491638,0.46496742963790894,0.4792584180831909
8,-38.94797134399414,0.3030269145965576,0.30300208926200867,0.46226176619529724,0.46239328384399414,-42.05745315551758,0.30094650387763977,0.30232104659080505,0.46412530541419983,0.4773419499397278
9,-40.281288146972656,0.30230575799942017,0.30227935314178467,0.46127739548683167,0.46140554547309875,-43.01376724243164,0.3007286489009857,0.30216047167778015,0.4634539783000946,0.47670626640319824
10,-41.54376220703125,0.30156365036964417,0.3015378415584564,0.46039310097694397,0.4605207145214081,-43.72106170654297,0.3012780249118805,0.30273139476776123,0.4629838466644287,0.47605836391448975
11,-42.587806701660156,0.3010045886039734,0.3009779751300812,0.45964738726615906,0.4597656726837158,-44.3599967956543,0.3017774224281311,0.3030271828174591,0.4627792239189148,0.4757503271102905
12,-43.573795318603516,0.3004953861236572,0.3004648983478546,0.4589865207672119,0.4591089189052582,-45.10160827636719,0.30137842893600464,0.30283963680267334,0.4620612561702728,0.4750588536262512
13,-44.44717788696289,0.30007806420326233,0.3000495731830597,0.4583331346511841,0.45845067501068115,-45.88814163208008,0.30203595757484436,0.30316102504730225,0.461446613073349,0.4736611843109131
14,-45.208763122558594,0.2997502386569977,0.2997229993343353,0.45776909589767456,0.4578821063041687,-46.17100143432617,0.30209922790527344,0.3032417595386505,0.46109670400619507,0.47340884804725647
15,-45.88511657714844,0.29928773641586304,0.2992628216743469,0.4573642611503601,0.45747798681259155,-46.45573806762695,0.30182451009750366,0.3029637932777405,0.4610353708267212,0.47352707386016846
16,-46.54161071777344,0.2989415228366852,0.29891204833984375,0.45690757036209106,0.4570218026638031,-47.18474578857422,0.30112424492836,0.30223578214645386,0.4604054391384125,0.47243890166282654
17,-47.12442398071289,0.29862838983535767,0.2985987067222595,0.45647913217544556,0.45659151673316956,-47.448368072509766,0.30212709307670593,0.3031250238418579,0.4600750505924225,0.47199133038520813
18,-47.72661209106445,0.2983711361885071,0.29834407567977905,0.45605045557022095,0.45616012811660767,-48.14213180541992,0.3010978102684021,0.30199354887008667,0.4597397744655609,0.47134172916412354
19,-48.2403450012207,0.29804375767707825,0.2980193793773651,0.4557037949562073,0.4558137059211731,-48.605010986328125,0.3010213077068329,0.3019663691520691,0.45918866991996765,0.47029009461402893
20,-48.750038146972656,0.2977719306945801,0.2977423369884491,0.455351859331131,0.4554588496685028,-48.73621368408203,0.3015100657939911,0.30246737599372864,0.4588772654533386,0.47043365240097046
21,-49.07427215576172,0.2976502478122711,0.2976224422454834,0.4551258087158203,0.45523595809936523,-49.09111022949219,0.3010203242301941,0.3018885552883148,0.45877423882484436,0.46979114413261414
