epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,39.441036224365234,0.3660065233707428,0.3634392321109772,0.5267869830131531,0.6140860319137573,3.83327579498291,0.31567221879959106,0.3239428400993347,0.500220000743866,0.5811296105384827
1,-6.876023292541504,0.32011011242866516,0.32380104064941406,0.48785948753356934,0.5512837171554565,-17.633394241333008,0.3063977062702179,0.31319451332092285,0.48208504915237427,0.5585888028144836
2,-20.974016189575195,0.3125264644622803,0.31414660811424255,0.476336807012558,0.5339032411575317,-26.054834365844727,0.3036818206310272,0.30921971797943115,0.47540825605392456,0.5495783686637878
3,-26.995643615722656,0.30934926867485046,0.3100435137748718,0.4715045392513275,0.5262658596038818,-31.02492332458496,0.30269908905029297,0.306529700756073,0.4714670479297638,0.541088342666626
4,-30.674768447875977,0.30738309025764465,0.3074842691421509,0.4685872495174408,0.5215334892272949,-34.40573501586914,0.3024711608886719,0.3045434355735779,0.469186931848526,0.5350296497344971
5,-33.389583587646484,0.3059845566749573,0.3054858148097992,0.4664957821369171,0.5179784893989563,-37.08443069458008,0.3016979396343231,0.30259597301483154,0.4672761559486389,0.5303137898445129
6,-35.63526153564453,0.30479660630226135,0.3037874400615692,0.4647670090198517,0.5151155591011047,-39.029563903808594,0.30185964703559875,0.3017069399356842,0.4659086763858795,0.5266815423965454
7,-37.45371627807617,0.30378857254981995,0.3022155165672302,0.46339088678359985,0.5127293467521667,-40.7701301574707,0.3020038902759552,0.3003067970275879,0.46484673023223877,0.5224825143814087
8,-38.92854690551758,0.3029807507991791,0.30107688903808594,0.4622972011566162,0.5108200311660767,-41.994415283203125,0.3025025427341461,0.3002503514289856,0.4639270007610321,0.5207154154777527
9,-40.2277717590332,0.3022848963737488,0.30005112290382385,0.4612826704978943,0.5090855956077576,-43.07006072998047,0.30240392684936523,0.2996755540370941,0.46329376101493835,0.5196912288665771
10,-41.34214782714844,0.30164897441864014,0.29908740520477295,0.46047157049179077,0.5075607299804688,-43.88057327270508,0.302313894033432,0.29915159940719604,0.46279144287109375,0.5187973380088806
11,-42.426448822021484,0.3011573255062103,0.2982539236545563,0.4596453607082367,0.5061440467834473,-44.20682907104492,0.3034023940563202,0.2995966970920563,0.46238279342651367,0.5179282426834106
12,-43.302974700927734,0.3006801903247833,0.29753461480140686,0.45902156829833984,0.5050181746482849,-44.78947067260742,0.30277472734451294,0.2996140718460083,0.4622325003147125,0.5189716815948486
13,-44.16375732421875,0.30024275183677673,0.29679542779922485,0.45838794112205505,0.5038740634918213,-45.57469940185547,0.3024771213531494,0.2986752390861511,0.4616639018058777,0.5168196558952332
14,-44.98489761352539,0.2997376322746277,0.2961205840110779,0.45783886313438416,0.5028622150421143,-45.671016693115234,0.3028445243835449,0.2988649606704712,0.46153298020362854,0.5174296498298645
15,-45.676456451416016,0.29937174916267395,0.2955172061920166,0.4573622941970825,0.5020449161529541,-46.45138931274414,0.3025180399417877,0.2982267737388611,0.4610634446144104,0.5164075493812561
16,-46.34262466430664,0.2990327775478363,0.29495638608932495,0.4568866193294525,0.5011599659919739,-46.931129455566406,0.3026914894580841,0.29777395725250244,0.46050477027893066,0.5141758918762207
17,-46.93206024169922,0.2987305223941803,0.29448822140693665,0.4564530551433563,0.5003374814987183,-47.5263557434082,0.30193689465522766,0.2968217134475708,0.460133820772171,0.5131022334098816
18,-47.528533935546875,0.2984426021575928,0.29403427243232727,0.456061452627182,0.4996393024921417,-48.060997009277344,0.3013661801815033,0.296397864818573,0.45976555347442627,0.5126296281814575
19,-47.99715042114258,0.29817041754722595,0.293626993894577,0.4557633399963379,0.49911579489707947,-48.55575942993164,0.30124834179878235,0.29576602578163147,0.4593735337257385,0.511689305305481
20,-48.50674819946289,0.29792946577072144,0.29318463802337646,0.4554004669189453,0.49846160411834717,-48.87230682373047,0.3011629283428192,0.2959772050380707,0.45892518758773804,0.5111263394355774
21,-48.94696044921875,0.29761242866516113,0.29279205203056335,0.45514753460884094,0.49795085191726685,-49.096351623535156,0.30104416608810425,0.29607948660850525,0.4590055048465729,0.5113775134086609
22,-49.346622467041016,0.29741042852401733,0.2924467623233795,0.45480772852897644,0.49738073348999023,-49.30030059814453,0.30104467272758484,0.29555630683898926,0.4585975706577301,0.5095546841621399
23,-49.73996353149414,0.297171413898468,0.29215118288993835,0.45460912585258484,0.4969964027404785,-49.88512420654297,0.30038586258888245,0.29479512572288513,0.45834922790527344,0.509044885635376
24,-50.180389404296875,0.2970176637172699,0.29190537333488464,0.4542902112007141,0.49649912118911743,-50.12649917602539,0.3004828095436096,0.29501935839653015,0.4579702913761139,0.5089659094810486
25,-50.450321197509766,0.29686832427978516,0.2916390299797058,0.4540727138519287,0.49606165289878845,-50.372074127197266,0.29930466413497925,0.2940603196620941,0.45777732133865356,0.5084755420684814
26,-50.79269790649414,0.2966479957103729,0.29135072231292725,0.45386600494384766,0.4956844449043274,-50.53461837768555,0.2995002567768097,0.29430821537971497,0.4576323926448822,0.508725106716156
27,-51.10258483886719,0.2964892089366913,0.2910996377468109,0.4536804258823395,0.4953377842903137,-50.987876892089844,0.299188494682312,0.2940949499607086,0.4573839604854584,0.5082589983940125
28,-51.36988830566406,0.29634523391723633,0.29088035225868225,0.4534699618816376,0.4949844479560852,-51.14685821533203,0.29930582642555237,0.294394850730896,0.45733442902565,0.5079301595687866
29,-51.631805419921875,0.29625535011291504,0.2907049059867859,0.45326000452041626,0.4946552813053131,-51.09580612182617,0.2988472580909729,0.29354140162467957,0.4572976529598236,0.507723331451416
30,-51.852516174316406,0.2962213158607483,0.2906222641468048,0.45313358306884766,0.49435219168663025,-51.3167610168457,0.2985140383243561,0.29407161474227905,0.45687437057495117,0.5082511305809021
31,-52.062984466552734,0.2960410714149475,0.2903297245502472,0.4529443681240082,0.49410322308540344,-51.781890869140625,0.2982238233089447,0.2934234142303467,0.45658889412879944,0.5068562626838684
32,-52.26020812988281,0.29590868949890137,0.2902161478996277,0.45288538932800293,0.49389976263046265,-51.78770065307617,0.2979959547519684,0.29315876960754395,0.4565897583961487,0.5067430734634399
33,-52.50520706176758,0.2958028018474579,0.2900279462337494,0.45269104838371277,0.4935941696166992,-51.61811065673828,0.2979021668434143,0.2935539782047272,0.4565458595752716,0.5075432062149048
34,-52.64920425415039,0.2956959903240204,0.2898741066455841,0.45261144638061523,0.49343404173851013,-52.1281852722168,0.2974482774734497,0.29318416118621826,0.45616668462753296,0.5061954855918884
35,-52.75467300415039,0.2956773638725281,0.28981974720954895,0.4525080919265747,0.493240088224411,-52.494842529296875,0.2972466051578522,0.2925349175930023,0.4557839035987854,0.5052204728126526
36,-52.93673324584961,0.2955610752105713,0.28968942165374756,0.45240217447280884,0.49305543303489685,-52.197509765625,0.2971550524234772,0.2928813397884369,0.4559369683265686,0.5057111382484436
37,-53.11050033569336,0.2954351007938385,0.28953927755355835,0.45231959223747253,0.49293187260627747,-52.739891052246094,0.2965366542339325,0.2921460270881653,0.4555451273918152,0.504600465297699
38,-53.21937561035156,0.2954503297805786,0.28949058055877686,0.45218318700790405,0.49271273612976074,-52.70266342163086,0.29637056589126587,0.2919325530529022,0.45547056198120117,0.5040021538734436
39,-53.34492492675781,0.29536038637161255,0.2893957793712616,0.4521082043647766,0.4925633370876312,-53.05099868774414,0.29621049761772156,0.29156869649887085,0.45518967509269714,0.5029138326644897
40,-53.462432861328125,0.29532214999198914,0.28938573598861694,0.45202958583831787,0.4924476444721222,-53.115028381347656,0.2959250807762146,0.2913382351398468,0.45489129424095154,0.502548336982727
41,-53.62449645996094,0.2951788306236267,0.2891450822353363,0.45193254947662354,0.4922039806842804,-53.098777770996094,0.2960387170314789,0.29154881834983826,0.45481497049331665,0.502151370048523
42,-53.75786590576172,0.29513198137283325,0.2890458405017853,0.4518895447254181,0.4920884966850281,-53.380889892578125,0.29519206285476685,0.29059892892837524,0.4547169506549835,0.5017691254615784
43,-53.87714767456055,0.29507267475128174,0.28899577260017395,0.45178791880607605,0.49195224046707153,-53.393341064453125,0.295087069272995,0.2905401587486267,0.4545953571796417,0.501282811164856
44,-53.934207916259766,0.29506435990333557,0.28895655274391174,0.45173123478889465,0.49185582995414734,-53.54927444458008,0.2949492335319519,0.29037362337112427,0.45423880219459534,0.5007117390632629
45,-54.11176681518555,0.29496756196022034,0.28885433077812195,0.45158934593200684,0.4916185140609741,-53.520450592041016,0.294707715511322,0.2904341220855713,0.45445382595062256,0.5013482570648193
46,-54.072608947753906,0.2949925363063812,0.28888246417045593,0.4515967071056366,0.4916541874408722,-53.70212936401367,0.29493600130081177,0.2901003360748291,0.45404425263404846,0.5005939602851868
47,-54.22134780883789,0.2948957085609436,0.2887027859687805,0.45158112049102783,0.49156540632247925,-53.44268798828125,0.29471156001091003,0.29014527797698975,0.45434510707855225,0.5007548928260803
48,-54.2509880065918,0.2948704957962036,0.28872033953666687,0.45151767134666443,0.4914957284927368,-53.632022857666016,0.29457443952560425,0.29042860865592957,0.454162061214447,0.5006133913993835
49,-54.30052185058594,0.29477405548095703,0.2885248064994812,0.4515325129032135,0.49146318435668945,-53.79227828979492,0.29434460401535034,0.28989899158477783,0.4539376199245453,0.5001043677330017
50,-54.31486129760742,0.29483720660209656,0.2885633409023285,0.45146289467811584,0.4913053512573242,-53.70629119873047,0.29439982771873474,0.28985151648521423,0.454011470079422,0.5005639791488647
51,-54.428775787353516,0.2948541045188904,0.288638710975647,0.4513567388057709,0.4912495017051697,-53.65733337402344,0.29401895403862,0.28934788703918457,0.4541282653808594,0.5000054240226746
52,-54.40305709838867,0.2948032319545746,0.2886213958263397,0.45142215490341187,0.491370290517807,-53.82705307006836,0.29410088062286377,0.28953486680984497,0.45378729701042175,0.49968740344047546
53,-54.54008102416992,0.2947331666946411,0.28843456506729126,0.4513159692287445,0.4911317527294159,-54.15057373046875,0.29385361075401306,0.2890991270542145,0.45356863737106323,0.4994499385356903
54,-54.55432891845703,0.294673353433609,0.28845036029815674,0.4513642191886902,0.491182804107666,-53.708309173583984,0.2939777970314026,0.28984731435775757,0.4538831114768982,0.5001532435417175
55,-54.62166976928711,0.2947087287902832,0.2884589731693268,0.4512394368648529,0.4910013675689697,-54.27444076538086,0.294365793466568,0.2897472381591797,0.4531126320362091,0.49887946248054504
56,-54.61123275756836,0.29476720094680786,0.28848087787628174,0.4512251615524292,0.49103859066963196,-54.00878143310547,0.2940410077571869,0.28966647386550903,0.4535168409347534,0.49961191415786743
57,-54.66459655761719,0.29466527700424194,0.28843164443969727,0.4512241780757904,0.4909714162349701,-53.915077209472656,0.293926477432251,0.2896980941295624,0.4536684453487396,0.49959850311279297
58,-54.77228546142578,0.2946113646030426,0.28840968012809753,0.451174259185791,0.49090543389320374,-54.12670135498047,0.29371562600135803,0.2895250916481018,0.45337095856666565,0.4993411600589752
59,-54.79623794555664,0.29463210701942444,0.2883754372596741,0.45115426182746887,0.4908716380596161,-53.94858169555664,0.2938390374183655,0.28958696126937866,0.4536038041114807,0.4998457133769989
60,-54.726558685302734,0.29462456703186035,0.28829360008239746,0.4511765241622925,0.4908357262611389,-53.951534271240234,0.2939842641353607,0.28988274931907654,0.4535216689109802,0.49992674589157104
61,-54.85237121582031,0.294615775346756,0.28824642300605774,0.4511457085609436,0.49081140756607056,-53.90407943725586,0.2938471734523773,0.28963425755500793,0.45361563563346863,0.49986743927001953
62,-54.85790252685547,0.2945834696292877,0.28827786445617676,0.45113900303840637,0.49077099561691284,-54.129180908203125,0.2935640215873718,0.2893739342689514,0.45338869094848633,0.4993034899234772
63,-54.92354965209961,0.29454782605171204,0.28821924328804016,0.4510718286037445,0.4907087981700897,-54.20841979980469,0.29375356435775757,0.2897774577140808,0.45326873660087585,0.499485045671463
64,-54.8683967590332,0.2946126461029053,0.2883470058441162,0.451086163520813,0.49072590470314026,-53.964698791503906,0.2937518358230591,0.2897431552410126,0.45352739095687866,0.49947628378868103
65,-54.92402648925781,0.2945290803909302,0.2881682217121124,0.4510837197303772,0.49064627289772034,-54.061824798583984,0.2935599088668823,0.28949716687202454,0.4534689486026764,0.49960726499557495
