epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,0.38163119554519653,0.45388007164001465,0.4191131293773651,0.5641109347343445,0.6044772267341614,0.17108824849128723,0.3850322961807251,0.3548290431499481,0.5255682468414307,0.5301072597503662
1,0.09063316136598587,0.3814987242221832,0.350928395986557,0.5121475458145142,0.5265692472457886,0.050715066492557526,0.36302173137664795,0.33121246099472046,0.49730026721954346,0.5074791312217712
2,0.0034129093401134014,0.3667287826538086,0.3364252746105194,0.49849289655685425,0.5103700160980225,-0.019097870215773582,0.3551868796348572,0.32261762022972107,0.4864562153816223,0.4936833083629608
3,-0.04160047322511673,0.35891395807266235,0.32905301451683044,0.492587149143219,0.5021639466285706,-0.05124608427286148,0.355366051197052,0.32026857137680054,0.4823087155818939,0.4856734871864319
4,-0.08930161595344543,0.3529934585094452,0.3226126432418823,0.4862087070941925,0.493573397397995,-0.07855498045682907,0.3506430983543396,0.3160785436630249,0.4801204800605774,0.4796345829963684
5,-0.11469800770282745,0.3501449227333069,0.31946271657943726,0.4827091097831726,0.4886198043823242,-0.09674499928951263,0.3439438045024872,0.3111047148704529,0.4750038981437683,0.477996826171875
6,-0.13751281797885895,0.3470328450202942,0.31576088070869446,0.4799836575984955,0.48483017086982727,-0.10789695382118225,0.34287595748901367,0.30947914719581604,0.47030141949653625,0.47770974040031433
7,-0.15409451723098755,0.3450767695903778,0.3134631812572479,0.4777893126010895,0.4817682206630707,-0.12036861479282379,0.3416453003883362,0.30870142579078674,0.4651798903942108,0.47846680879592896
8,-0.16773277521133423,0.34363603591918945,0.31186601519584656,0.47586971521377563,0.4790247678756714,-0.13458289206027985,0.3395441770553589,0.30740904808044434,0.4635113477706909,0.47566044330596924
9,-0.18228916823863983,0.3417985439300537,0.30959707498550415,0.47416266798973083,0.47671061754226685,-0.1487954556941986,0.3379063904285431,0.30504125356674194,0.4623464345932007,0.47216659784317017
10,33.47111892700195,0.438873827457428,0.42660948634147644,0.6709465980529785,0.6970018148422241,0.30561286211013794,0.3975523114204407,0.37416747212409973,0.5535192489624023,0.5804100632667542
11,0.1794208139181137,0.38120022416114807,0.3561534285545349,0.5316990613937378,0.551694393157959,0.10293031483888626,0.3719594478607178,0.3461747169494629,0.5083315968513489,0.5257754921913147
12,0.04998917877674103,0.36861732602119446,0.3411548137664795,0.507431149482727,0.5211064219474792,0.03149096295237541,0.36619144678115845,0.33768367767333984,0.4944876730442047,0.5089958310127258
13,-0.006543815601617098,0.3626405894756317,0.33392420411109924,0.49847009778022766,0.509169340133667,-0.004783697426319122,0.36285775899887085,0.3333919048309326,0.48703163862228394,0.5011559724807739
14,-0.043348684906959534,0.3583289086818695,0.32872650027275085,0.4934512972831726,0.502293050289154,-0.03334571048617363,0.35910889506340027,0.32820868492126465,0.48174500465393066,0.496159166097641
15,-0.07097252458333969,0.35469672083854675,0.32458508014678955,0.489802747964859,0.49751538038253784,-0.054525718092918396,0.3536468744277954,0.3218066692352295,0.47899046540260315,0.49191784858703613
16,-0.09269867092370987,0.35191354155540466,0.32143768668174744,0.4869084358215332,0.493813693523407,-0.07139391452074051,0.3490658700466156,0.31637588143348694,0.47659486532211304,0.4889114797115326
17,-0.10869152843952179,0.35005590319633484,0.31928420066833496,0.48468294739723206,0.4909995496273041,-0.08230290561914444,0.3473949134349823,0.314333975315094,0.47311440110206604,0.48796647787094116
18,-0.12176581472158432,0.34846946597099304,0.317440927028656,0.48279815912246704,0.48867011070251465,-0.09185939282178879,0.3455984592437744,0.312155157327652,0.47133955359458923,0.4860823154449463
19,-0.13283725082874298,0.3471558094024658,0.316017746925354,0.4812678396701813,0.4866233766078949,-0.10039375722408295,0.34310951828956604,0.3093205988407135,0.47082412242889404,0.4833207130432129
